V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
,x,32.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,25.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,33.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,43.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,22.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
203.0,,3.2,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,All
475.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,All
181.0,,3.4,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,All
205.0,,3.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,All
238.0,,3.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,All
374.0,,2.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,All
332.0,,2.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,All
2582.0,,0.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,All
57.0,,5.9,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,Defined benefit
33.0,,8.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,Defined benefit
16.0,,12.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,Defined benefit
25.0,,9.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,Defined benefit
47.0,,6.9,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,Defined benefit
217.0,,3.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,Defined benefit
254.0,,2.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,Defined benefit
2330.0,,0.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,Defined benefit
43.0,,7.2,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,Defined contribution
193.0,,3.3,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,Defined contribution
56.0,,6.2,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,Defined contribution
72.0,,5.5,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,Defined contribution
81.0,,5.1,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,Defined contribution
64.0,,5.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,Defined contribution
34.0,,7.9,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,Defined contribution
85.0,,5.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,Defined contribution
74.0,,5.5,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,Group personal pension
180.0,,3.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,Group personal pension
84.0,,5.1,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,Group personal pension
85.0,,5.1,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,Group personal pension
84.0,,5.1,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,Group personal pension
69.0,,5.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,Group personal pension
32.0,,8.3,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,Group personal pension
110.0,,4.4,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,Group personal pension
15.0,,12.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,Group stakeholder pension
44.0,,7.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,Group stakeholder pension
20.0,,10.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,Group stakeholder pension
18.0,,11.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,Group stakeholder pension
21.0,,10.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,Group stakeholder pension
18.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,Group stakeholder pension
9.0,,16.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,Group stakeholder pension
27.0,,8.9,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,Group stakeholder pension
7.0,,17.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Professional occupations,,Group self-invested personal pension
6.0,,19.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,31.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,26.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,30.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,30.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,43.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Professional occupations,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Professional occupations,,Group self-invested personal pension
169.0,,3.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,All
595.0,,1.7,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,All
224.0,,2.9,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,All
216.0,,2.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,All
233.0,,2.8,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,All
456.0,,1.9,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,All
305.0,,2.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,All
588.0,,1.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,All
35.0,,7.3,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
39.0,,7.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
15.0,,12.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
22.0,,9.4,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
60.0,,5.6,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
316.0,,2.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
237.0,,2.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
455.0,,1.9,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,Defined benefit
49.0,,6.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
249.0,,2.7,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
68.0,,5.4,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
78.0,,5.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
71.0,,5.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
57.0,,5.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
29.0,,8.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
50.0,,6.2,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,Defined contribution
59.0,,5.9,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
217.0,,3.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
103.0,,4.4,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
86.0,,4.8,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
78.0,,5.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
62.0,,5.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
28.0,,8.5,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
60.0,,5.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,Group personal pension
16.0,,11.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
59.0,,5.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
31.0,,8.1,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
23.0,,9.3,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
20.0,,10.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
15.0,,12.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
8.0,,16.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
15.0,,12.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,Group stakeholder pension
,x,23.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
8.0,,16.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,21.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,43.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,25.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Associate professional and technical occupations,,Group self-invested personal pension
133.0,,3.1,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,All
450.0,,1.6,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,All
120.0,,3.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,All
148.0,,2.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,All
203.0,,2.5,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,All
538.0,,1.4,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,All
150.0,,2.9,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,All
214.0,,2.4,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,All
33.0,,6.2,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
39.0,,5.9,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
8.0,,13.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
30.0,,6.6,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
110.0,,3.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
442.0,,1.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
123.0,,3.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
158.0,,2.9,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,Defined benefit
41.0,,5.6,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
214.0,,2.4,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
40.0,,5.7,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
48.0,,5.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
32.0,,6.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
33.0,,6.4,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
11.0,,11.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
19.0,,8.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,Defined contribution
40.0,,5.8,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
137.0,,3.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
55.0,,5.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
52.0,,5.1,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
46.0,,5.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
49.0,,5.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
11.0,,11.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
26.0,,7.2,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,Group personal pension
13.0,,11.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
38.0,,5.9,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
14.0,,10.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
15.0,,9.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
11.0,,11.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
8.0,,13.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
4.0,,19.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
8.0,,13.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,Group stakeholder pension
,x,21.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
5.0,,16.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,35.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,35.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,47.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,33.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
49.0,,6.6,Year,2016,K02000001,,,Zero,,Employee,,All,,Skilled trades occupations,,All
492.0,,1.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Skilled trades occupations,,All
97.0,,4.6,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Skilled trades occupations,,All
90.0,,4.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Skilled trades occupations,,All
82.0,,4.9,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Skilled trades occupations,,All
140.0,,3.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Skilled trades occupations,,All
88.0,,4.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Skilled trades occupations,,All
86.0,,4.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Skilled trades occupations,,All
8.0,,16.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Skilled trades occupations,,Defined benefit
27.0,,8.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Skilled trades occupations,,Defined benefit
