V4_0,Time_codelist,Time,Geography_codelist,Geography,Industry_codelist,Industry,Region_codelist,Region
10,Quarter,2010 Q4,K03000001,,A,,NE,
11,Quarter,2011 Q1,K03000001,,A,,NE,
17,Quarter,2011 Q2,K03000001,,A,,NE,
11,Quarter,2011 Q3,K03000001,,A,,NE,
12,Quarter,2011 Q4,K03000001,,A,,NE,
12,Quarter,2012 Q1,K03000001,,A,,NE,
6,Quarter,2012 Q2,K03000001,,A,,NE,
8,Quarter,2012 Q3,K03000001,,A,,NE,
6,Quarter,2012 Q4,K03000001,,A,,NE,
7,Quarter,2013 Q1,K03000001,,A,,NE,
9,Quarter,2013 Q2,K03000001,,A,,NE,
9,Quarter,2013 Q3,K03000001,,A,,NE,
7,Quarter,2013 Q4,K03000001,,A,,NE,
7,Quarter,2014 Q1,K03000001,,A,,NE,
12,Quarter,2014 Q2,K03000001,,A,,NE,
12,Quarter,2014 Q3,K03000001,,A,,NE,
12,Quarter,2014 Q4,K03000001,,A,,NE,
8,Quarter,2015 Q1,K03000001,,A,,NE,
7,Quarter,2015 Q2,K03000001,,A,,NE,
6,Quarter,2015 Q3,K03000001,,A,,NE,
4,Quarter,2015 Q4,K03000001,,A,,NE,
3,Quarter,2016 Q1,K03000001,,A,,NE,
4,Quarter,2016 Q2,K03000001,,A,,NE,
5,Quarter,2016 Q3,K03000001,,A,,NE,
6,Quarter,2016 Q4,K03000001,,A,,NE,
7,Quarter,2017 Q1,K03000001,,A,,NE,
7,Quarter,2017 Q2,K03000001,,A,,NE,
1077,Quarter,1996 Q1,K03000001,,A-T,,NE,
1086,Quarter,1996 Q2,K03000001,,A-T,,NE,
1083,Quarter,1996 Q3,K03000001,,A-T,,NE,
1089,Quarter,1996 Q4,K03000001,,A-T,,NE,
1075,Quarter,1997 Q1,K03000001,,A-T,,NE,
1099,Quarter,1997 Q2,K03000001,,A-T,,NE,
1093,Quarter,1997 Q3,K03000001,,A-T,,NE,
1116,Quarter,1997 Q4,K03000001,,A-T,,NE,
1120,Quarter,1998 Q1,K03000001,,A-T,,NE,
1117,Quarter,1998 Q2,K03000001,,A-T,,NE,
1115,Quarter,1998 Q3,K03000001,,A-T,,NE,
1080,Quarter,1998 Q4,K03000001,,A-T,,NE,
1082,Quarter,1999 Q1,K03000001,,A-T,,NE,
1076,Quarter,1999 Q2,K03000001,,A-T,,NE,
1089,Quarter,1999 Q3,K03000001,,A-T,,NE,
1102,Quarter,1999 Q4,K03000001,,A-T,,NE,
1089,Quarter,2000 Q1,K03000001,,A-T,,NE,
1097,Quarter,2000 Q2,K03000001,,A-T,,NE,
1095,Quarter,2000 Q3,K03000001,,A-T,,NE,
1066,Quarter,2000 Q4,K03000001,,A-T,,NE,
1077,Quarter,2001 Q1,K03000001,,A-T,,NE,
1081,Quarter,2001 Q2,K03000001,,A-T,,NE,
1084,Quarter,2001 Q3,K03000001,,A-T,,NE,
1100,Quarter,2001 Q4,K03000001,,A-T,,NE,
1101,Quarter,2002 Q1,K03000001,,A-T,,NE,
1110,Quarter,2002 Q2,K03000001,,A-T,,NE,
1128,Quarter,2002 Q3,K03000001,,A-T,,NE,
1120,Quarter,2002 Q4,K03000001,,A-T,,NE,
1121,Quarter,2003 Q1,K03000001,,A-T,,NE,
1135,Quarter,2003 Q2,K03000001,,A-T,,NE,
1143,Quarter,2003 Q3,K03000001,,A-T,,NE,
1152,Quarter,2003 Q4,K03000001,,A-T,,NE,
1151,Quarter,2004 Q1,K03000001,,A-T,,NE,
1142,Quarter,2004 Q2,K03000001,,A-T,,NE,
1158,Quarter,2004 Q3,K03000001,,A-T,,NE,
1144,Quarter,2004 Q4,K03000001,,A-T,,NE,
1159,Quarter,2005 Q1,K03000001,,A-T,,NE,
1179,Quarter,2005 Q2,K03000001,,A-T,,NE,
1198,Quarter,2005 Q3,K03000001,,A-T,,NE,
1205,Quarter,2005 Q4,K03000001,,A-T,,NE,
1192,Quarter,2006 Q1,K03000001,,A-T,,NE,
1203,Quarter,2006 Q2,K03000001,,A-T,,NE,
1200,Quarter,2006 Q3,K03000001,,A-T,,NE,
1210,Quarter,2006 Q4,K03000001,,A-T,,NE,
1196,Quarter,2007 Q1,K03000001,,A-T,,NE,
1201,Quarter,2007 Q2,K03000001,,A-T,,NE,
1194,Quarter,2007 Q3,K03000001,,A-T,,NE,
1203,Quarter,2007 Q4,K03000001,,A-T,,NE,
1198,Quarter,2008 Q1,K03000001,,A-T,,NE,
1199,Quarter,2008 Q2,K03000001,,A-T,,NE,
1198,Quarter,2008 Q3,K03000001,,A-T,,NE,
1218,Quarter,2008 Q4,K03000001,,A-T,,NE,
1199,Quarter,2009 Q1,K03000001,,A-T,,NE,
1190,Quarter,2009 Q2,K03000001,,A-T,,NE,
1183,Quarter,2009 Q3,K03000001,,A-T,,NE,
1182,Quarter,2009 Q4,K03000001,,A-T,,NE,
1181,Quarter,2010 Q1,K03000001,,A-T,,NE,
1178,Quarter,2010 Q2,K03000001,,A-T,,NE,
1154,Quarter,2010 Q3,K03000001,,A-T,,NE,
1138,Quarter,2010 Q4,K03000001,,A-T,,NE,
1149,Quarter,2011 Q1,K03000001,,A-T,,NE,
1150,Quarter,2011 Q2,K03000001,,A-T,,NE,
1155,Quarter,2011 Q3,K03000001,,A-T,,NE,
1158,Quarter,2011 Q4,K03000001,,A-T,,NE,
1181,Quarter,2012 Q1,K03000001,,A-T,,NE,
1134,Quarter,2012 Q2,K03000001,,A-T,,NE,
1132,Quarter,2012 Q3,K03000001,,A-T,,NE,
1141,Quarter,2012 Q4,K03000001,,A-T,,NE,
1152,Quarter,2013 Q1,K03000001,,A-T,,NE,
1148,Quarter,2013 Q2,K03000001,,A-T,,NE,
1158,Quarter,2013 Q3,K03000001,,A-T,,NE,
1157,Quarter,2013 Q4,K03000001,,A-T,,NE,
1164,Quarter,2014 Q1,K03000001,,A-T,,NE,
1172,Quarter,2014 Q2,K03000001,,A-T,,NE,
1158,Quarter,2014 Q3,K03000001,,A-T,,NE,
1159,Quarter,2014 Q4,K03000001,,A-T,,NE,
1202,Quarter,2015 Q1,K03000001,,A-T,,NE,
1218,Quarter,2015 Q2,K03000001,,A-T,,NE,
1193,Quarter,2015 Q3,K03000001,,A-T,,NE,
1184,Quarter,2015 Q4,K03000001,,A-T,,NE,
1201,Quarter,2016 Q1,K03000001,,A-T,,NE,
1186,Quarter,2016 Q2,K03000001,,A-T,,NE,
1199,Quarter,2016 Q3,K03000001,,A-T,,NE,
1195,Quarter,2016 Q4,K03000001,,A-T,,NE,
1197,Quarter,2017 Q1,K03000001,,A-T,,NE,
1202,Quarter,2017 Q2,K03000001,,A-T,,NE,
4,Quarter,1996 Q1,K03000001,,B,,NE,
4,Quarter,1996 Q2,K03000001,,B,,NE,
4,Quarter,1996 Q3,K03000001,,B,,NE,
5,Quarter,1996 Q4,K03000001,,B,,NE,
4,Quarter,1997 Q1,K03000001,,B,,NE,
4,Quarter,1997 Q2,K03000001,,B,,NE,
3,Quarter,1997 Q3,K03000001,,B,,NE,
3,Quarter,1997 Q4,K03000001,,B,,NE,
3,Quarter,1998 Q1,K03000001,,B,,NE,
3,Quarter,1998 Q2,K03000001,,B,,NE,
3,Quarter,1998 Q3,K03000001,,B,,NE,
3,Quarter,1998 Q4,K03000001,,B,,NE,
3,Quarter,1999 Q1,K03000001,,B,,NE,
3,Quarter,1999 Q2,K03000001,,B,,NE,
4,Quarter,1999 Q3,K03000001,,B,,NE,
3,Quarter,1999 Q4,K03000001,,B,,NE,
3,Quarter,2000 Q1,K03000001,,B,,NE,
3,Quarter,2000 Q2,K03000001,,B,,NE,
3,Quarter,2000 Q3,K03000001,,B,,NE,
3,Quarter,2000 Q4,K03000001,,B,,NE,
3,Quarter,2001 Q1,K03000001,,B,,NE,
3,Quarter,2001 Q2,K03000001,,B,,NE,
3,Quarter,2001 Q3,K03000001,,B,,NE,
3,Quarter,2001 Q4,K03000001,,B,,NE,
3,Quarter,2002 Q1,K03000001,,B,,NE,
3,Quarter,2002 Q2,K03000001,,B,,NE,
3,Quarter,2002 Q3,K03000001,,B,,NE,
2,Quarter,2002 Q4,K03000001,,B,,NE,
2,Quarter,2003 Q1,K03000001,,B,,NE,
3,Quarter,2003 Q2,K03000001,,B,,NE,
3,Quarter,2003 Q3,K03000001,,B,,NE,
3,Quarter,2003 Q4,K03000001,,B,,NE,
3,Quarter,2004 Q1,K03000001,,B,,NE,
3,Quarter,2004 Q2,K03000001,,B,,NE,
5,Quarter,2004 Q3,K03000001,,B,,NE,
4,Quarter,2004 Q4,K03000001,,B,,NE,
3,Quarter,2005 Q1,K03000001,,B,,NE,
3,Quarter,2005 Q2,K03000001,,B,,NE,
2,Quarter,2005 Q3,K03000001,,B,,NE,
2,Quarter,2005 Q4,K03000001,,B,,NE,
2,Quarter,2006 Q1,K03000001,,B,,NE,
2,Quarter,2006 Q2,K03000001,,B,,NE,
3,Quarter,2006 Q3,K03000001,,B,,NE,
3,Quarter,2006 Q4,K03000001,,B,,NE,
2,Quarter,2007 Q1,K03000001,,B,,NE,
1,Quarter,2007 Q2,K03000001,,B,,NE,
2,Quarter,2007 Q3,K03000001,,B,,NE,
2,Quarter,2007 Q4,K03000001,,B,,NE,
2,Quarter,2008 Q1,K03000001,,B,,NE,
2,Quarter,2008 Q2,K03000001,,B,,NE,
2,Quarter,2008 Q3,K03000001,,B,,NE,
1,Quarter,2008 Q4,K03000001,,B,,NE,
2,Quarter,2009 Q1,K03000001,,B,,NE,
2,Quarter,2009 Q2,K03000001,,B,,NE,
2,Quarter,2009 Q3,K03000001,,B,,NE,
2,Quarter,2009 Q4,K03000001,,B,,NE,
2,Quarter,2010 Q1,K03000001,,B,,NE,
2,Quarter,2010 Q2,K03000001,,B,,NE,
3,Quarter,2010 Q3,K03000001,,B,,NE,
3,Quarter,2010 Q4,K03000001,,B,,NE,
4,Quarter,2011 Q1,K03000001,,B,,NE,
3,Quarter,2011 Q2,K03000001,,B,,NE,
3,Quarter,2011 Q3,K03000001,,B,,NE,
3,Quarter,2011 Q4,K03000001,,B,,NE,
2,Quarter,2012 Q1,K03000001,,B,,NE,
2,Quarter,2012 Q2,K03000001,,B,,NE,
2,Quarter,2012 Q3,K03000001,,B,,NE,
2,Quarter,2012 Q4,K03000001,,B,,NE,
1,Quarter,2013 Q1,K03000001,,B,,NE,
2,Quarter,2013 Q2,K03000001,,B,,NE,
2,Quarter,2013 Q3,K03000001,,B,,NE,
2,Quarter,2013 Q4,K03000001,,B,,NE,
2,Quarter,2014 Q1,K03000001,,B,,NE,
2,Quarter,2014 Q2,K03000001,,B,,NE,
3,Quarter,2014 Q3,K03000001,,B,,NE,
2,Quarter,2014 Q4,K03000001,,B,,NE,
2,Quarter,2015 Q1,K03000001,,B,,NE,
2,Quarter,2015 Q2,K03000001,,B,,NE,
2,Quarter,2015 Q3,K03000001,,B,,NE,
2,Quarter,2015 Q4,K03000001,,B,,NE,
2,Quarter,2016 Q1,K03000001,,B,,NE,
2,Quarter,2016 Q2,K03000001,,B,,NE,
2,Quarter,2016 Q3,K03000001,,B,,NE,
1,Quarter,2016 Q4,K03000001,,B,,NE,
1,Quarter,2017 Q1,K03000001,,B,,NE,
1,Quarter,2017 Q2,K03000001,,B,,NE,
205,Quarter,1996 Q1,K03000001,,C,,NE,
208,Quarter,1996 Q2,K03000001,,C,,NE,
212,Quarter,1996 Q3,K03000001,,C,,NE,
210,Quarter,1996 Q4,K03000001,,C,,NE,
205,Quarter,1997 Q1,K03000001,,C,,NE,
205,Quarter,1997 Q2,K03000001,,C,,NE,
198,Quarter,1997 Q3,K03000001,,C,,NE,
199,Quarter,1997 Q4,K03000001,,C,,NE,
202,Quarter,1998 Q1,K03000001,,C,,NE,
202,Quarter,1998 Q2,K03000001,,C,,NE,
204,Quarter,1998 Q3,K03000001,,C,,NE,
193,Quarter,1998 Q4,K03000001,,C,,NE,
190,Quarter,1999 Q1,K03000001,,C,,NE,
185,Quarter,1999 Q2,K03000001,,C,,NE,
183,Quarter,1999 Q3,K03000001,,C,,NE,
179,Quarter,1999 Q4,K03000001,,C,,NE,
177,Quarter,2000 Q1,K03000001,,C,,NE,
177,Quarter,2000 Q2,K03000001,,C,,NE,
175,Quarter,2000 Q3,K03000001,,C,,NE,
174,Quarter,2000 Q4,K03000001,,C,,NE,
171,Quarter,2001 Q1,K03000001,,C,,NE,
167,Quarter,2001 Q2,K03000001,,C,,NE,
165,Quarter,2001 Q3,K03000001,,C,,NE,
163,Quarter,2001 Q4,K03000001,,C,,NE,
163,Quarter,2002 Q1,K03000001,,C,,NE,
163,Quarter,2002 Q2,K03000001,,C,,NE,
161,Quarter,2002 Q3,K03000001,,C,,NE,
161,Quarter,2002 Q4,K03000001,,C,,NE,
162,Quarter,2003 Q1,K03000001,,C,,NE,
160,Quarter,2003 Q2,K03000001,,C,,NE,
157,Quarter,2003 Q3,K03000001,,C,,NE,
152,Quarter,2003 Q4,K03000001,,C,,NE,
152,Quarter,2004 Q1,K03000001,,C,,NE,
151,Quarter,2004 Q2,K03000001,,C,,NE,
146,Quarter,2004 Q3,K03000001,,C,,NE,
141,Quarter,2004 Q4,K03000001,,C,,NE,
140,Quarter,2005 Q1,K03000001,,C,,NE,
139,Quarter,2005 Q2,K03000001,,C,,NE,
138,Quarter,2005 Q3,K03000001,,C,,NE,
136,Quarter,2005 Q4,K03000001,,C,,NE,
135,Quarter,2006 Q1,K03000001,,C,,NE,
135,Quarter,2006 Q2,K03000001,,C,,NE,
134,Quarter,2006 Q3,K03000001,,C,,NE,
137,Quarter,2006 Q4,K03000001,,C,,NE,
137,Quarter,2007 Q1,K03000001,,C,,NE,
134,Quarter,2007 Q2,K03000001,,C,,NE,
134,Quarter,2007 Q3,K03000001,,C,,NE,
133,Quarter,2007 Q4,K03000001,,C,,NE,
132,Quarter,2008 Q1,K03000001,,C,,NE,
130,Quarter,2008 Q2,K03000001,,C,,NE,
130,Quarter,2008 Q3,K03000001,,C,,NE,
120,Quarter,2008 Q4,K03000001,,C,,NE,
121,Quarter,2009 Q1,K03000001,,C,,NE,
121,Quarter,2009 Q2,K03000001,,C,,NE,
117,Quarter,2009 Q3,K03000001,,C,,NE,
119,Quarter,2009 Q4,K03000001,,C,,NE,
114,Quarter,2010 Q1,K03000001,,C,,NE,
116,Quarter,2010 Q2,K03000001,,C,,NE,
116,Quarter,2010 Q3,K03000001,,C,,NE,
114,Quarter,2010 Q4,K03000001,,C,,NE,
113,Quarter,2011 Q1,K03000001,,C,,NE,
111,Quarter,2011 Q2,K03000001,,C,,NE,
111,Quarter,2011 Q3,K03000001,,C,,NE,
109,Quarter,2011 Q4,K03000001,,C,,NE,
113,Quarter,2012 Q1,K03000001,,C,,NE,
114,Quarter,2012 Q2,K03000001,,C,,NE,
117,Quarter,2012 Q3,K03000001,,C,,NE,
115,Quarter,2012 Q4,K03000001,,C,,NE,
117,Quarter,2013 Q1,K03000001,,C,,NE,
114,Quarter,2013 Q2,K03000001,,C,,NE,
113,Quarter,2013 Q3,K03000001,,C,,NE,
117,Quarter,2013 Q4,K03000001,,C,,NE,
111,Quarter,2014 Q1,K03000001,,C,,NE,
114,Quarter,2014 Q2,K03000001,,C,,NE,
114,Quarter,2014 Q3,K03000001,,C,,NE,
113,Quarter,2014 Q4,K03000001,,C,,NE,
119,Quarter,2015 Q1,K03000001,,C,,NE,
122,Quarter,2015 Q2,K03000001,,C,,NE,
122,Quarter,2015 Q3,K03000001,,C,,NE,
120,Quarter,2015 Q4,K03000001,,C,,NE,
117,Quarter,2016 Q1,K03000001,,C,,NE,
116,Quarter,2016 Q2,K03000001,,C,,NE,
116,Quarter,2016 Q3,K03000001,,C,,NE,
115,Quarter,2016 Q4,K03000001,,C,,NE,
115,Quarter,2017 Q1,K03000001,,C,,NE,
122,Quarter,2017 Q2,K03000001,,C,,NE,
4,Quarter,1996 Q1,K03000001,,D,,NE,
4,Quarter,1996 Q2,K03000001,,D,,NE,
3,Quarter,1996 Q3,K03000001,,D,,NE,
3,Quarter,1996 Q4,K03000001,,D,,NE,
4,Quarter,1997 Q1,K03000001,,D,,NE,
3,Quarter,1997 Q2,K03000001,,D,,NE,
4,Quarter,1997 Q3,K03000001,,D,,NE,
4,Quarter,1997 Q4,K03000001,,D,,NE,
4,Quarter,1998 Q1,K03000001,,D,,NE,
4,Quarter,1998 Q2,K03000001,,D,,NE,
4,Quarter,1998 Q3,K03000001,,D,,NE,
4,Quarter,1998 Q4,K03000001,,D,,NE,
4,Quarter,1999 Q1,K03000001,,D,,NE,
4,Quarter,1999 Q2,K03000001,,D,,NE,
4,Quarter,1999 Q3,K03000001,,D,,NE,
4,Quarter,1999 Q4,K03000001,,D,,NE,
4,Quarter,2000 Q1,K03000001,,D,,NE,
3,Quarter,2000 Q2,K03000001,,D,,NE,
4,Quarter,2000 Q3,K03000001,,D,,NE,
4,Quarter,2000 Q4,K03000001,,D,,NE,
4,Quarter,2001 Q1,K03000001,,D,,NE,
3,Quarter,2001 Q2,K03000001,,D,,NE,
3,Quarter,2001 Q3,K03000001,,D,,NE,
3,Quarter,2001 Q4,K03000001,,D,,NE,
4,Quarter,2002 Q1,K03000001,,D,,NE,
4,Quarter,2002 Q2,K03000001,,D,,NE,
4,Quarter,2002 Q3,K03000001,,D,,NE,
4,Quarter,2002 Q4,K03000001,,D,,NE,
4,Quarter,2003 Q1,K03000001,,D,,NE,
4,Quarter,2003 Q2,K03000001,,D,,NE,
6,Quarter,2003 Q3,K03000001,,D,,NE,
5,Quarter,2003 Q4,K03000001,,D,,NE,
5,Quarter,2004 Q1,K03000001,,D,,NE,
5,Quarter,2004 Q2,K03000001,,D,,NE,
5,Quarter,2004 Q3,K03000001,,D,,NE,
5,Quarter,2004 Q4,K03000001,,D,,NE,
5,Quarter,2005 Q1,K03000001,,D,,NE,
4,Quarter,2005 Q2,K03000001,,D,,NE,
4,Quarter,2005 Q3,K03000001,,D,,NE,
4,Quarter,2005 Q4,K03000001,,D,,NE,
4,Quarter,2006 Q1,K03000001,,D,,NE,
4,Quarter,2006 Q2,K03000001,,D,,NE,
4,Quarter,2006 Q3,K03000001,,D,,NE,
4,Quarter,2006 Q4,K03000001,,D,,NE,
4,Quarter,2007 Q1,K03000001,,D,,NE,
4,Quarter,2007 Q2,K03000001,,D,,NE,
4,Quarter,2007 Q3,K03000001,,D,,NE,
4,Quarter,2007 Q4,K03000001,,D,,NE,
4,Quarter,2008 Q1,K03000001,,D,,NE,
4,Quarter,2008 Q2,K03000001,,D,,NE,
4,Quarter,2008 Q3,K03000001,,D,,NE,
4,Quarter,2008 Q4,K03000001,,D,,NE,
5,Quarter,2009 Q1,K03000001,,D,,NE,
6,Quarter,2009 Q2,K03000001,,D,,NE,
7,Quarter,2009 Q3,K03000001,,D,,NE,
6,Quarter,2009 Q4,K03000001,,D,,NE,
8,Quarter,2010 Q1,K03000001,,D,,NE,
8,Quarter,2010 Q2,K03000001,,D,,NE,
6,Quarter,2010 Q3,K03000001,,D,,NE,
6,Quarter,2010 Q4,K03000001,,D,,NE,
6,Quarter,2011 Q1,K03000001,,D,,NE,
6,Quarter,2011 Q2,K03000001,,D,,NE,
6,Quarter,2011 Q3,K03000001,,D,,NE,
6,Quarter,2011 Q4,K03000001,,D,,NE,
7,Quarter,2012 Q1,K03000001,,D,,NE,
7,Quarter,2012 Q2,K03000001,,D,,NE,
8,Quarter,2012 Q3,K03000001,,D,,NE,
7,Quarter,2012 Q4,K03000001,,D,,NE,
8,Quarter,2013 Q1,K03000001,,D,,NE,
8,Quarter,2013 Q2,K03000001,,D,,NE,
8,Quarter,2013 Q3,K03000001,,D,,NE,
8,Quarter,2013 Q4,K03000001,,D,,NE,
7,Quarter,2014 Q1,K03000001,,D,,NE,
6,Quarter,2014 Q2,K03000001,,D,,NE,
5,Quarter,2014 Q3,K03000001,,D,,NE,
5,Quarter,2014 Q4,K03000001,,D,,NE,
5,Quarter,2015 Q1,K03000001,,D,,NE,
4,Quarter,2015 Q2,K03000001,,D,,NE,
4,Quarter,2015 Q3,K03000001,,D,,NE,
4,Quarter,2015 Q4,K03000001,,D,,NE,
5,Quarter,2016 Q1,K03000001,,D,,NE,
4,Quarter,2016 Q2,K03000001,,D,,NE,
4,Quarter,2016 Q3,K03000001,,D,,NE,
6,Quarter,2016 Q4,K03000001,,D,,NE,
6,Quarter,2017 Q1,K03000001,,D,,NE,
6,Quarter,2017 Q2,K03000001,,D,,NE,
5,Quarter,1996 Q1,K03000001,,E,,NE,
6,Quarter,1996 Q2,K03000001,,E,,NE,
6,Quarter,1996 Q3,K03000001,,E,,NE,
7,Quarter,1996 Q4,K03000001,,E,,NE,
6,Quarter,1997 Q1,K03000001,,E,,NE,
6,Quarter,1997 Q2,K03000001,,E,,NE,
6,Quarter,1997 Q3,K03000001,,E,,NE,
7,Quarter,1997 Q4,K03000001,,E,,NE,
6,Quarter,1998 Q1,K03000001,,E,,NE,
6,Quarter,1998 Q2,K03000001,,E,,NE,
6,Quarter,1998 Q3,K03000001,,E,,NE,
6,Quarter,1998 Q4,K03000001,,E,,NE,
7,Quarter,1999 Q1,K03000001,,E,,NE,
7,Quarter,1999 Q2,K03000001,,E,,NE,
7,Quarter,1999 Q3,K03000001,,E,,NE,
6,Quarter,1999 Q4,K03000001,,E,,NE,
7,Quarter,2000 Q1,K03000001,,E,,NE,
7,Quarter,2000 Q2,K03000001,,E,,NE,
8,Quarter,2000 Q3,K03000001,,E,,NE,
8,Quarter,2000 Q4,K03000001,,E,,NE,
9,Quarter,2001 Q1,K03000001,,E,,NE,
9,Quarter,2001 Q2,K03000001,,E,,NE,
10,Quarter,2001 Q3,K03000001,,E,,NE,
10,Quarter,2001 Q4,K03000001,,E,,NE,
9,Quarter,2002 Q1,K03000001,,E,,NE,
8,Quarter,2002 Q2,K03000001,,E,,NE,
8,Quarter,2002 Q3,K03000001,,E,,NE,
7,Quarter,2002 Q4,K03000001,,E,,NE,
7,Quarter,2003 Q1,K03000001,,E,,NE,
7,Quarter,2003 Q2,K03000001,,E,,NE,
7,Quarter,2003 Q3,K03000001,,E,,NE,
7,Quarter,2003 Q4,K03000001,,E,,NE,
7,Quarter,2004 Q1,K03000001,,E,,NE,
7,Quarter,2004 Q2,K03000001,,E,,NE,
7,Quarter,2004 Q3,K03000001,,E,,NE,
7,Quarter,2004 Q4,K03000001,,E,,NE,
7,Quarter,2005 Q1,K03000001,,E,,NE,
7,Quarter,2005 Q2,K03000001,,E,,NE,
7,Quarter,2005 Q3,K03000001,,E,,NE,
7,Quarter,2005 Q4,K03000001,,E,,NE,
7,Quarter,2006 Q1,K03000001,,E,,NE,
7,Quarter,2006 Q2,K03000001,,E,,NE,
7,Quarter,2006 Q3,K03000001,,E,,NE,
8,Quarter,2006 Q4,K03000001,,E,,NE,
8,Quarter,2007 Q1,K03000001,,E,,NE,
8,Quarter,2007 Q2,K03000001,,E,,NE,
8,Quarter,2007 Q3,K03000001,,E,,NE,
7,Quarter,2007 Q4,K03000001,,E,,NE,
7,Quarter,2008 Q1,K03000001,,E,,NE,
7,Quarter,2008 Q2,K03000001,,E,,NE,
7,Quarter,2008 Q3,K03000001,,E,,NE,
7,Quarter,2008 Q4,K03000001,,E,,NE,
6,Quarter,2009 Q1,K03000001,,E,,NE,
6,Quarter,2009 Q2,K03000001,,E,,NE,
5,Quarter,2009 Q3,K03000001,,E,,NE,
4,Quarter,2009 Q4,K03000001,,E,,NE,
4,Quarter,2010 Q1,K03000001,,E,,NE,
4,Quarter,2010 Q2,K03000001,,E,,NE,
4,Quarter,2010 Q3,K03000001,,E,,NE,
4,Quarter,2010 Q4,K03000001,,E,,NE,
5,Quarter,2011 Q1,K03000001,,E,,NE,
7,Quarter,2011 Q2,K03000001,,E,,NE,
7,Quarter,2011 Q3,K03000001,,E,,NE,
6,Quarter,2011 Q4,K03000001,,E,,NE,
6,Quarter,2012 Q1,K03000001,,E,,NE,
6,Quarter,2012 Q2,K03000001,,E,,NE,
6,Quarter,2012 Q3,K03000001,,E,,NE,
6,Quarter,2012 Q4,K03000001,,E,,NE,
7,Quarter,2013 Q1,K03000001,,E,,NE,
5,Quarter,2013 Q2,K03000001,,E,,NE,
6,Quarter,2013 Q3,K03000001,,E,,NE,
7,Quarter,2013 Q4,K03000001,,E,,NE,
6,Quarter,2014 Q1,K03000001,,E,,NE,
6,Quarter,2014 Q2,K03000001,,E,,NE,
6,Quarter,2014 Q3,K03000001,,E,,NE,
