V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
460.0,,1.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined contribution,,All employees
376.0,,2.2,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined contribution,,All employees
288.0,,2.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined contribution,,All employees
140.0,,3.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined contribution,,All employees
268.0,,2.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined contribution,,All employees
300.0,,2.5,Year,2016,K02000001,,,Zero,,Employee,,All,,Group personal pension,,All employees
1302.0,,1.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group personal pension,,All employees
451.0,,2.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group personal pension,,All employees
396.0,,2.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group personal pension,,All employees
347.0,,2.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group personal pension,,All employees
274.0,,2.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group personal pension,,All employees
120.0,,4.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group personal pension,,All employees
311.0,,2.5,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group personal pension,,All employees
82.0,,4.8,Year,2016,K02000001,,,Zero,,Employee,,All,,Group stakeholder pension,,All employees
422.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group stakeholder pension,,All employees
126.0,,3.8,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group stakeholder pension,,All employees
117.0,,3.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group stakeholder pension,,All employees
102.0,,4.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group stakeholder pension,,All employees
85.0,,4.7,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group stakeholder pension,,All employees
42.0,,6.7,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group stakeholder pension,,All employees
88.0,,4.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group stakeholder pension,,All employees
26.0,,8.8,Year,2016,K02000001,,,Zero,,Employee,,All,,Group self-invested personal pension,,All employees
47.0,,6.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group self-invested personal pension,,All employees
13.0,,13.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group self-invested personal pension,,All employees
16.0,,11.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group self-invested personal pension,,All employees
12.0,,13.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group self-invested personal pension,,All employees
10.0,,15.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group self-invested personal pension,,All employees
,x,23.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group self-invested personal pension,,All employees
16.0,,11.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group self-invested personal pension,,All employees
74.0,,5.2,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,1 to 12 employees
113.0,,4.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,1 to 12 employees
28.0,,8.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,1 to 12 employees
23.0,,9.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,1 to 12 employees
27.0,,8.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,1 to 12 employees
25.0,,8.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,1 to 12 employees
10.0,,14.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,1 to 12 employees
29.0,,8.1,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,1 to 12 employees
6.0,,19.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,1 to 12 employees
6.0,,18.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,1 to 12 employees
,x,38.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,1 to 12 employees
,x,27.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,1 to 12 employees
10.0,,12.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,1 to 12 employees
,x,28.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,1 to 12 employees
8.0,,15.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,1 to 12 employees
23.0,,9.1,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,1 to 12 employees
72.0,,5.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,1 to 12 employees
5.0,,20.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined contribution,,1 to 12 employees
7.0,,17.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined contribution,,1 to 12 employees
9.0,,15.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined contribution,,1 to 12 employees
,x,22.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined contribution,,1 to 12 employees
,x,24.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined contribution,,1 to 12 employees
6.0,,19.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined contribution,,1 to 12 employees
23.0,,9.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Group personal pension,,1 to 12 employees
20.0,,9.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group personal pension,,1 to 12 employees
14.0,,12.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group personal pension,,1 to 12 employees
7.0,,17.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group personal pension,,1 to 12 employees
11.0,,13.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group personal pension,,1 to 12 employees
6.0,,18.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group personal pension,,1 to 12 employees
,x,32.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group personal pension,,1 to 12 employees
8.0,,16.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group personal pension,,1 to 12 employees
12.0,,13.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
9.0,,15.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
7.0,,16.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group stakeholder pension,,1 to 12 employees
5.0,,20.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,44.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,61.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,41.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,44.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,74.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,74.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
,x,40.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group self-invested personal pension,,1 to 12 employees
214.0,,3.0,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,13 to 99 employees
957.0,,1.3,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,13 to 99 employees
219.0,,2.9,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,13 to 99 employees
181.0,,3.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,13 to 99 employees
140.0,,3.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,13 to 99 employees
187.0,,3.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,13 to 99 employees
58.0,,5.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,13 to 99 employees
253.0,,2.8,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,13 to 99 employees
18.0,,11.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,13 to 99 employees
58.0,,5.5,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,13 to 99 employees
10.0,,14.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,13 to 99 employees
8.0,,15.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,13 to 99 employees
16.0,,10.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,13 to 99 employees
97.0,,3.9,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,13 to 99 employees
19.0,,10.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,13 to 99 employees
138.0,,3.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,13 to 99 employees
44.0,,6.6,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,13 to 99 employees
439.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,13 to 99 employees
34.0,,7.5,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined contribution,,13 to 99 employees
32.0,,7.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined contribution,,13 to 99 employees
26.0,,8.6,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined contribution,,13 to 99 employees
19.0,,10.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined contribution,,13 to 99 employees
8.0,,16.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined contribution,,13 to 99 employees
26.0,,8.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined contribution,,13 to 99 employees
97.0,,4.5,Year,2016,K02000001,,,Zero,,Employee,,All,,Group personal pension,,13 to 99 employees
314.0,,2.4,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group personal pension,,13 to 99 employees
130.0,,3.8,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group personal pension,,13 to 99 employees
101.0,,4.4,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group personal pension,,13 to 99 employees
70.0,,5.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group personal pension,,13 to 99 employees
51.0,,6.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group personal pension,,13 to 99 employees
21.0,,9.8,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group personal pension,,13 to 99 employees
60.0,,5.8,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group personal pension,,13 to 99 employees
36.0,,7.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
77.0,,4.9,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
36.0,,7.2,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
33.0,,7.6,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
22.0,,9.5,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
14.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
8.0,,16.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
17.0,,11.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group stakeholder pension,,13 to 99 employees
8.0,,16.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
12.0,,13.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,21.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,24.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,31.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,32.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,53.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
,x,23.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group self-invested personal pension,,13 to 99 employees
154.0,,3.5,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,100 to 499 employees
986.0,,1.3,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,100 to 499 employees
251.0,,2.7,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,100 to 499 employees
234.0,,2.8,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,100 to 499 employees
200.0,,3.1,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,100 to 499 employees
290.0,,2.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,100 to 499 employees
145.0,,3.6,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,100 to 499 employees
500.0,,2.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,100 to 499 employees
20.0,,9.7,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,100 to 499 employees
48.0,,6.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,100 to 499 employees
9.0,,15.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,100 to 499 employees
14.0,,12.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,100 to 499 employees
19.0,,10.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,100 to 499 employees
167.0,,3.1,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,100 to 499 employees
88.0,,4.6,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,100 to 499 employees
330.0,,2.4,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,100 to 499 employees
34.0,,7.5,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,100 to 499 employees
417.0,,2.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,100 to 499 employees
59.0,,5.7,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined contribution,,100 to 499 employees
52.0,,6.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined contribution,,100 to 499 employees
43.0,,6.8,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined contribution,,100 to 499 employees
36.0,,7.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined contribution,,100 to 499 employees
16.0,,11.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined contribution,,100 to 499 employees
39.0,,7.3,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined contribution,,100 to 499 employees
77.0,,5.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group personal pension,,100 to 499 employees
368.0,,2.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group personal pension,,100 to 499 employees
144.0,,3.6,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group personal pension,,100 to 499 employees
128.0,,3.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group personal pension,,100 to 499 employees
106.0,,4.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group personal pension,,100 to 499 employees
63.0,,5.5,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group personal pension,,100 to 499 employees
30.0,,8.2,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group personal pension,,100 to 499 employees
95.0,,4.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group personal pension,,100 to 499 employees
16.0,,11.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
92.0,,4.4,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
30.0,,8.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
30.0,,7.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
26.0,,8.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
15.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
8.0,,15.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
26.0,,8.9,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group stakeholder pension,,100 to 499 employees
,x,26.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
16.0,,11.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,22.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,24.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,47.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group self-invested personal pension,,100 to 499 employees
49.0,,6.3,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,500 to 999 employees
361.0,,2.2,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,500 to 999 employees
99.0,,4.4,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,500 to 999 employees
105.0,,4.3,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,500 to 999 employees
97.0,,4.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,500 to 999 employees
172.0,,3.2,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,500 to 999 employees
113.0,,4.1,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,500 to 999 employees
207.0,,3.1,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,500 to 999 employees
6.0,,18.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,500 to 999 employees
15.0,,11.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,500 to 999 employees
8.0,,15.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,500 to 999 employees
7.0,,16.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,500 to 999 employees
14.0,,12.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,500 to 999 employees
99.0,,4.1,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,500 to 999 employees
78.0,,4.9,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,500 to 999 employees
142.0,,3.8,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,500 to 999 employees
14.0,,12.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,500 to 999 employees
151.0,,3.4,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,500 to 999 employees
29.0,,8.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined contribution,,500 to 999 employees
37.0,,7.2,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined contribution,,500 to 999 employees
28.0,,8.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined contribution,,500 to 999 employees
22.0,,9.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined contribution,,500 to 999 employees
14.0,,12.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined contribution,,500 to 999 employees
23.0,,9.3,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined contribution,,500 to 999 employees
21.0,,9.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Group personal pension,,500 to 999 employees
137.0,,3.6,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group personal pension,,500 to 999 employees
48.0,,6.3,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group personal pension,,500 to 999 employees
49.0,,6.3,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group personal pension,,500 to 999 employees
43.0,,6.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group personal pension,,500 to 999 employees
36.0,,7.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group personal pension,,500 to 999 employees
16.0,,11.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group personal pension,,500 to 999 employees
30.0,,8.1,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group personal pension,,500 to 999 employees
,x,21.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
38.0,,7.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
10.0,,14.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
9.0,,15.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
10.0,,14.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
11.0,,14.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
,x,22.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
7.0,,17.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group stakeholder pension,,500 to 999 employees
,x,32.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
5.0,,19.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,40.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,36.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,40.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,40.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,76.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
,x,35.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Group self-invested personal pension,,500 to 999 employees
515.0,,1.7,Year,2016,K02000001,,,Zero,,Employee,,All,,All,,"1,000 employees or more"
2126.0,,0.8,Year,2016,K02000001,,,Under 2%,,Employee,,All,,All,,"1,000 employees or more"
411.0,,2.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,All,,"1,000 employees or more"
585.0,,1.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,All,,"1,000 employees or more"
724.0,,1.5,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,All,,"1,000 employees or more"
2030.0,,0.8,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,All,,"1,000 employees or more"
890.0,,1.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,All,,"1,000 employees or more"
3138.0,,0.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,All,,"1,000 employees or more"
252.0,,2.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined benefit,,"1,000 employees or more"
146.0,,3.3,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
45.0,,6.2,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
94.0,,4.3,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
290.0,,2.4,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
1651.0,,0.9,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
715.0,,1.6,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Defined benefit,,"1,000 employees or more"
2782.0,,0.7,Year,2016,K02000001,,,7% and over,,Employee,,All,,Defined benefit,,"1,000 employees or more"
151.0,,3.3,Year,2016,K02000001,,,Zero,,Employee,,All,,Defined contribution,,"1,000 employees or more"
1242.0,,1.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Defined contribution,,"1,000 employees or more"
