V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Highest qualification_codelist,Highest qualification,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
16.90949241,4.864802151,2682,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,45-54,,All adults
6.936451475,4.069175048,762,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,All adults
5.916533593,3.175240501,1496,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.39732869,10.60097696,192,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,45-54,,All adults
8.569821851,3.248412764,998,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,55-64,,All adults
9.544022648,3.204667088,2160,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,55-64,,All adults
1.32865298,0.935385958,1122,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,All adults
10.40397402,5.930087499,1150,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,212,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,55-64,,All adults
4.939616065,2.277346173,852,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.532709053,0.83366147,1700,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.025451038,1.137115229,1897,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.395612712,1.804186407,821,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,300,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.501059463,1.489447656,493,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,955,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.299949026,0.299907474,2147,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,375,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,75+,,All adults
9.118877679,6.529601769,277,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,75+,,All adults
12.45823578,6.074547763,431,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16-24,,Female
15.56357308,13.51787982,387,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16-24,,Female
3.169144407,3.179875381,104,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Female
23.38284069,8.69557073,393,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,39,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16-24,,Female
11.88422051,3.643658658,2629,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16+,,Female
10.20759126,2.243760837,7495,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16+,,Female
4.680564672,1.595496763,4190,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Female
7.600864387,2.185894852,3825,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16+,,Female
6.746406657,4.179092285,775,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16+,,Female
9.977135437,4.649342388,486,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,25-34,,Female
5.950694858,2.410785841,1577,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,25-34,,Female
25.12712391,15.07374429,300,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Female
12.76601366,10.37499745,543,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,25-34,,Female
13.20184115,13.09663608,129,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.29105834,5.304184285,436,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,35-44,,Female
4.166070318,1.883807304,1770,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,35-44,,Female
17.47032273,9.495749083,285,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Female
3.400549997,2.625558789,529,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,35-44,,Female
25.65162918,25.65187021,97,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,35-44,,Female
17.38661692,14.68959733,473,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,45-54,,Female
24.49702621,8.390030231,1438,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,45-54,,Female
8.780278731,7.276998993,382,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Female
2.058454618,1.714572601,868,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,98,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,45-54,,Female
19.38095838,8.173314069,387,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,55-64,,Female
13.88901279,6.179627571,1077,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,55-64,,Female
1.252888417,1.252935965,626,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Female
5.342070448,3.301022917,736,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,103,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,278,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.90330074,0.903245543,801,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,1112,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.153612754,1.154617626,531,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,149,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,138,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,445,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,75+,,Female
0.457754256,0.458043816,1381,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,225,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,75+,,Female
6.430813606,6.414597837,160,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,75+,,Female
17.46093895,11.53567282,401,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16-24,,Male
23.08101512,14.29670477,318,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16-24,,Male
70.20441881,31.86861239,140,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Male
35.74110434,15.36174993,333,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,30,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16-24,,Male
12.7433392,3.415337681,3462,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,16+,,Male
8.286103087,2.259232115,6577,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,16+,,Male
12.95184408,3.583441444,3072,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Male
17.44392314,4.968127693,2588,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,16+,,Male
5.458279828,3.445479641,692,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,16+,,Male
9.857184657,5.102390619,457,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,25-34,,Male
10.34800445,6.6874058,1159,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,25-34,,Male
28.96440468,14.70144227,240,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.457711042,5.425291638,330,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,71,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,25-34,,Male
21.02616908,12.32085523,483,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,35-44,,Male
6.362936125,3.19013673,1364,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.14430865,6.719685936,265,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Male
20.91315414,15.10768707,443,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,120,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,35-44,,Male
21.14714789,8.298701958,581,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,45-54,,Male
9.299929736,4.941694516,1244,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,45-54,,Male
5.151224898,3.784819435,380,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.04190405,7.032936107,628,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,45-54,,Male
26.4815393,20.7916437,94,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,45-54,,Male
1.807997668,1.279927572,611,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.558757982,2.367681826,1083,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,55-64,,Male
1.421586446,1.414848675,496,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Male
19.04025274,15.00936398,414,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,109,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,55-64,,Male
7.44861172,3.435766059,574,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.062741635,1.33492469,899,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,65-74,,Male
5.021153057,2.807726206,785,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.746702419,4.742154895,290,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,151,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.187515329,2.170576032,355,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,510,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,766,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,150,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Acquaintance violence,,75+,,Male
12.90285598,12.84495553,117,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Acquaintance violence,,75+,,Male
15.38551625,6.791749381,832,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.397907643,2.981815937,705,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16-24,,All adults
22.31671595,14.22366322,244,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,All adults
26.83890835,8.579597492,726,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16-24,,All adults
20.32878202,15.25939705,69,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16-24,,All adults
9.220796958,2.270286395,6091,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16+,,All adults
4.918806724,0.853710977,14072,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16+,,All adults
4.222401768,1.246126602,7262,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,All adults
8.161756801,1.897066241,6413,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16+,,All adults
6.8146382,2.725174695,1467,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16+,,All adults
15.44140713,5.809628556,943,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,25-34,,All adults
3.835959343,1.551031183,2736,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,25-34,,All adults
14.61401843,7.091329522,540,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.102149637,3.307241262,873,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,200,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,25-34,,All adults
4.961616359,2.411656009,919,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.513556955,2.1720132,3134,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.487256169,4.274926415,550,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,All adults
2.776942459,1.778865276,972,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,35-44,,All adults
10.3572927,10.33580102,217,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,35-44,,All adults
12.13307947,7.152207634,1054,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.917319806,2.713114301,2682,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,45-54,,All adults
4.358385281,2.286744433,762,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,All adults
4.347278914,2.831846305,1496,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,45-54,,All adults
23.6215726,11.79222637,192,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,45-54,,All adults
1.916253388,1.913952103,998,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.563166634,1.83298831,2160,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.540809113,0.541089555,1122,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.659559908,1.809916431,1150,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,212,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,55-64,,All adults
1.033451643,1.033236927,852,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.670445807,0.935823974,1700,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.951460003,0.565162572,1897,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.640761783,1.639329075,821,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,300,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,493,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,955,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,2147,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,375,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,277,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,75+,,All adults
3.928077795,2.863015469,431,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16-24,,Female
2.138101853,2.13751256,387,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16-24,,Female
11.21384943,11.17521821,104,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,Female
14.75110349,6.710111561,393,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16-24,,Female
0,0,39,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16-24,,Female
7.042228977,3.015098966,2629,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16+,,Female
5.604290659,1.202446838,7495,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16+,,Female
2.791336008,1.239507982,4190,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,Female
4.597977455,1.356312659,3825,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16+,,Female
5.158823527,3.782097365,775,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16+,,Female
13.4301234,8.88575435,486,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,25-34,,Female
6.061545948,2.825213224,1577,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,25-34,,Female
13.77259125,11.80773236,300,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,Female
4.037261879,3.016856563,543,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,129,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,25-34,,Female
4.258886025,3.103023796,436,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,35-44,,Female
7.032080848,3.029843482,1770,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,35-44,,Female
9.818216259,8.028042949,285,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,Female
2.854654158,2.361155055,529,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,35-44,,Female
25.65162918,25.65187021,97,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,35-44,,Female
15.22372297,14.43338208,473,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,45-54,,Female
8.103548484,3.079219764,1438,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,45-54,,Female
1.6487265,1.650235223,382,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,Female
1.574814644,1.316732182,868,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,45-54,,Female
13.75421237,13.69280136,98,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,45-54,,Female
4.980053401,4.964559577,387,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,55-64,,Female
5.60810135,3.041857561,1077,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,55-64,,Female
0.981706966,0.982167795,626,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,Female
4.809919145,2.692389135,736,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,103,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,278,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,65-74,,Female
1.843522315,1.443557356,801,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,65-74,,Female
0.611683032,0.612141986,1112,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,531,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,149,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,138,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,445,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,1381,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,225,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,160,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,75+,,Female
26.53664165,13.08093281,401,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16-24,,Male
6.749253257,5.660566734,318,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16-24,,Male
28.81233711,21.55044343,140,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,Male
38.63593921,15.66483903,333,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16-24,,Male
43.54876351,32.65228491,30,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16-24,,Male
10.8589289,3.271216076,3462,Quarter,2017 Q1,K04000001,,,Apprenticeship or A/AS level,,Incidence rate,,Common assault with injury,,16+,,Male
4.228510998,1.220562855,6577,Quarter,2017 Q1,K04000001,,,Degree or diploma,,Incidence rate,,Common assault with injury,,16+,,Male
6.008593953,2.333155169,3072,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,Male
12.77166206,3.981985934,2588,Quarter,2017 Q1,K04000001,,,O level/GCSE,,Incidence rate,,Common assault with injury,,16+,,Male
8.524623873,3.938451618,692,Quarter,2017 Q1,K04000001,,,Other,,Incidence rate,,Common assault with injury,,16+,,Male
