V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Marital status_codelist,Marital status,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
12.17843688,4.139869486,1074,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16+,,All adults
21.04577821,3.156284893,8005,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16+,,All adults
1.563911687,0.766356758,3408,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,16+,,All adults
7.733874902,2.556921442,1336,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,25-34,,All adults
0,0,67,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.053092124,2.215793249,3129,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,All adults
6.546258629,2.993537903,1793,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,25-34,,All adults
16.70832781,5.74311322,2166,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.585587543,8.568078284,110,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,25-34,,All adults
17.38605803,6.072136377,1984,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,25-34,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,25-34,,All adults
19.26319597,9.581762336,791,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,320,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,35-44,,All adults
6.954122431,2.32025755,3909,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,All adults
3.886695746,1.636201987,3118,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,35-44,,All adults
16.35426704,4.78649846,1879,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,All adults
21.8853429,11.81510104,230,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,35-44,,All adults
18.91883364,6.296097104,1311,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,35-44,,All adults
0,0,18,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.197785025,4.266418778,675,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.67412385,6.242167908,752,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,45-54,,All adults
11.23906358,2.990425618,3820,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,All adults
11.84946518,3.486996081,3145,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,45-54,,All adults
19.30160247,5.901384672,2350,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,All adults
14.2949343,7.824197066,320,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,45-54,,All adults
26.21250589,10.66251469,1191,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,87,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,45-54,,All adults
3.281115431,3.278185414,355,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,55-64,,All adults
10.85798443,4.273942801,949,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,55-64,,All adults
6.883118394,2.302214388,3415,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.287506517,2.533287506,3060,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,55-64,,All adults
9.491888722,2.633262826,2231,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,All adults
8.510632187,8.498918668,222,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,55-64,,All adults
10.53510811,4.914785383,692,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,55-64,,All adults
4.894417112,4.883574835,368,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,172,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,65-74,,All adults
6.749466664,3.170464448,813,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.888371985,0.753155719,3209,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.991435081,0.794716134,3037,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.170615197,1.198334991,2362,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,140,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,65-74,,All adults
3.542164673,2.52307087,452,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.485911364,0.486203875,957,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,54,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,315,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.656363475,0.656618978,1692,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.678582286,0.678857773,1638,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.179141452,0.694637471,2554,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,46,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,221,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.495710184,0.880814802,1972,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,75+,,All adults
5.007582336,3.544816829,230,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16-24,,Female
4.059491084,2.873532595,275,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,45,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16-24,,Female
17.48438762,5.809719868,1088,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16-24,,Female
17.54152637,5.828547221,1082,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16-24,,Female
6.504509361,1.920923042,1928,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16+,,Female
7.508311981,3.026090016,2012,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16+,,Female
6.81076326,1.518548519,9756,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16+,,Female
6.886234304,1.787964635,7828,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16+,,Female
11.35140486,2.069812226,9163,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16+,,Female
14.11609379,5.436174813,659,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16+,,Female
16.10696475,3.554365532,4028,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16+,,Female
1.536984229,0.927846817,2464,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,16+,,Female
10.69082625,4.081073118,734,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,57,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.094664902,3.488733515,1797,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,Female
6.35695841,4.280703709,1063,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,25-34,,Female
13.07103748,5.42242542,1243,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,Female
13.03423094,12.96098926,86,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,25-34,,Female
13.61457503,5.889336291,1096,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,25-34,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,25-34,,Female
2.220854153,2.220390843,379,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,228,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,35-44,,Female
3.278770103,1.508179769,1984,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,Female
3.518606471,1.779494915,1605,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,35-44,,Female
16.93807465,5.605848393,1127,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,Female
28.13194329,15.27600411,172,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,35-44,,Female
19.02905673,7.741981625,713,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,14,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,35-44,,Female
8.00258919,5.646281849,313,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,45-54,,Female
13.37937334,9.081257813,488,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.21686143,5.175363198,1908,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.32432368,6.013137915,1595,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.73400544,7.876257363,1341,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,Female
6.486277305,4.729862373,198,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,45-54,,Female
22.77388789,16.26742769,583,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,72,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,177,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,55-64,,Female
12.67380524,6.332765819,565,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.199731307,3.469632544,1697,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,Female
10.18591521,3.840383665,1520,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.376299313,3.575141186,1241,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,Female
15.39609455,15.36309649,118,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,55-64,,Female
3.725340093,3.727331108,299,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,55-64,,Female
6.749303275,6.72970137,259,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,71,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,65-74,,Female
2.022729424,2.021293676,481,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,1450,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,1379,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.281955818,0.907752083,1419,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,64,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,65-74,,Female
4.774711248,4.783826209,170,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,704,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,24,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,192,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,645,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,621,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,75+,,Female
1.13163432,0.820232241,1704,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,85,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,75+,,Female
1.35659389,0.983034812,1411,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,75+,,Female
5.171215363,5.167698248,125,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16-24,,Male
4.425332573,4.423114826,145,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,20,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16-24,,Male
31.86180557,8.484355712,1078,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16-24,,Male
31.93471866,8.503594816,1072,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,16-24,,Male
11.36935818,4.060900134,1810,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16+,,Male
8.884293669,2.760966827,1209,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16+,,Male
6.330229918,1.27486248,9838,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16+,,Male
5.06090496,1.233737689,8028,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16+,,Male
20.8240426,3.786863005,6545,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16+,,Male
8.72730422,6.238095449,415,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16+,,Male
25.36662323,4.947998459,3977,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16+,,Male
1.648552449,1.252634692,944,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,16+,,Male
4.874085767,3.090626579,602,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,10,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.909744179,2.630604356,1332,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,Male
6.774699169,4.117926759,730,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,25-34,,Male
19.84269057,9.609563277,923,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,24,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,25-34,,Male
20.45136915,9.903604105,888,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,25-34,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,25-34,,Male
33.15721946,17.31475601,412,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,92,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,35-44,,Male
10.41244536,4.156422595,1925,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,Male
4.245592872,2.4030885,1513,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,35-44,,Male
15.59268363,8.259152228,752,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,58,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,35-44,,Male
18.80705164,9.962570058,598,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,35-44,,Male
8.350195902,6.181501938,362,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.39440394,6.071373182,264,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,45-54,,Male
8.439812805,3.198350515,1912,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,Male
8.45976576,3.658292976,1550,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,45-54,,Male
24.07726421,8.861450409,1009,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,45-54,,Male
28.90464767,20.47107999,122,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,45-54,,Male
29.52450181,13.8456108,608,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,15,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,45-54,,Male
6.131440025,6.115069072,178,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,55-64,,Male
8.018277445,4.650197939,384,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.70459821,3.066858072,1718,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.537545839,3.348893599,1540,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,55-64,,Male
9.648584907,3.873797467,990,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,104,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,55-64,,Male
16.24310627,8.479555209,393,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,109,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,101,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,65-74,,Male
14.44982758,7.660757236,332,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.561806252,1.419846906,1759,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.771718749,1.504734482,1658,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,65-74,,Male
6.393554488,2.845281669,943,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,76,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.664296084,2.663600295,282,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.028595964,2.029595089,253,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,30,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,123,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,75+,,Male
1.139708144,1.139762394,1047,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,75+,,Male
1.175553062,1.175611449,1017,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,75+,,Male
1.302257475,1.301969771,850,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,30,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,136,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,75+,,Male
1.944846917,1.943969814,561,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,75+,,Male
6.436654487,4.558241695,355,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Common assault with injury,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Common assault with injury,,16-24,,All adults
5.323724929,3.772100204,420,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Common assault with injury,,16-24,,All adults
0,0,65,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Common assault with injury,,16-24,,All adults
18.0737099,4.23438122,2166,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Common assault with injury,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Common assault with injury,,16-24,,All adults
17.58755969,4.215889684,2154,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Common assault with injury,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.78671847,1.23106097,3738,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Common assault with injury,,16+,,All adults
7.49481967,2.352392249,3221,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Common assault with injury,,16+,,All adults
3.197612212,0.603232485,19594,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Common assault with injury,,16+,,All adults
2.801576905,0.698214148,15856,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Common assault with injury,,16+,,All adults
11.25399665,1.538082881,15708,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Common assault with injury,,16+,,All adults
14.44050688,5.428571401,1074,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Common assault with injury,,16+,,All adults
14.25399081,2.268205006,8005,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Common assault with injury,,16+,,All adults
1.338234758,0.868813971,3408,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Common assault with injury,,16+,,All adults
4.906350768,2.529129276,1336,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,67,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Common assault with injury,,25-34,,All adults
