V4_1,Standard Error,Time_codelist,Time,Geography_codelist,Geography,Level of physical disorder in immediate area_codelist,Level of physical disorder in immediate area,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
1.915630546,0.081255514,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Other household theft,,All households
2.039210711,0.332250859,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft from a motor vehicle,,All households
2.091363065,0.08317297,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft from a motor vehicle,,All households
3.98421877,0.640333833,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft from a motor vehicle,,Vehicle-owning households
2.6423404269999997,0.10490661300000001,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft from a motor vehicle,,Vehicle-owning households
0.14661418699999998,0.091078462,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft of a motor vehicle,,All households
0.232474879,0.027906922999999997,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft of a motor vehicle,,All households
0.286455438,0.17785287800000002,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft of a motor vehicle,,Vehicle-owning households
0.294284609,0.035338403,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft of a motor vehicle,,Vehicle-owning households
0.6262748929999999,0.20311506699999998,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft from a dwelling and meter,,All households
0.199678319,0.028062821,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft from a dwelling and meter,,All households
10.20313078,0.7779037059999999,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,All household theft,,All households
7.3386667779999994,0.156615267,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,All household theft,,All households
2.643046821,0.37622120600000003,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Theft from outside dwelling,,All households
1.7202412580000002,0.07660597400000001,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Theft from outside dwelling,,All households
13.91234967,0.892803412,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,All household crime,,All households
10.18004012,0.190298259,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,All household crime,,All households
4.778518117,0.546496625,Quarter,2017 Q1,K04000001,,,High,,Prevalence rate,,Criminal damage  ,,All households
3.3927722410000003,0.10739887099999999,Quarter,2017 Q1,K04000001,,,Low,,Prevalence rate,,Criminal damage  ,,All households
