V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Employment status_codelist,Employment status,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0,0,30,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,35-44,,All adults
9.031655384,2.363293517,4876,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,35-44,,All adults
28.83876462,17.45594348,124,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,35-44,,All adults
17.46910065,6.383175997,912,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,45-54,,All adults
27.94076182,11.78318839,474,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.82201955,10.06473294,256,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,108,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,57,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,17,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.81173144,2.995814202,5141,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,45-54,,All adults
6.534658873,6.551562402,137,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,45-54,,All adults
2.785121827,1.135451994,2043,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,55-64,,All adults
11.23236769,4.797281146,534,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,147,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,110,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0.255630628,0.255683466,1247,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,55-64,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,55-64,,All adults
10.25462106,2.758158514,3511,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,101,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.20427849,0.657873387,4687,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,84,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,21,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,17,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.264354761,0.675861114,4564,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.604677566,1.989151908,887,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.93785435,0.493139811,4106,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,33,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,10,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.954807811,0.502040343,4036,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,146,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,75+,,All adults
19.52554249,12.34065639,440,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16-24,,Female
20.78214112,21.0910487,20,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16-24,,Female
26.61106333,26.57687577,119,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,18,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16-24,,Female
18.75041788,14.89399925,283,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16-24,,Female
11.75747145,4.017887285,831,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16-24,,Female
26.88519998,19.16923685,88,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16-24,,Female
5.222344207,1.545425551,8341,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16+,,Female
20.51548975,8.336203432,850,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16+,,Female
8.130177829,3.391711082,1419,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,219,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16+,,Female
0.412120148,0.244307259,5489,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,16+,,Female
17.62080901,13.27952091,364,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16+,,Female
10.81066683,1.829597151,10252,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16+,,Female
16.92884486,8.5458847,360,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16+,,Female
14.21813938,7.168298676,676,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,25-34,,Female
69.43362724,54.075103,88,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,25-34,,Female
6.737388168,3.964400964,498,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,43,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,25-34,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,25-34,,Female
15.29933068,15.3600846,45,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.646842426,3.311201836,2269,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,25-34,,Female
6.863644397,6.862167392,96,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,25-34,,Female
7.312978584,4.443152788,592,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,35-44,,Female
29.56886606,24.16955694,131,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,35-44,,Female
3.114488309,2.278702321,405,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,30,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,21,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,35-44,,Female
6.13077321,1.986494947,2467,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,35-44,,Female
32.7319864,24.56071594,65,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,35-44,,Female
13.69326599,7.278357852,597,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,45-54,,Female
17.08245176,13.26115504,270,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.61493404,11.35708158,226,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,57,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,33,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,11,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.14148997,5.104230331,2602,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,61,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,45-54,,Female
1.47672433,1.051307562,1206,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,55-64,,Female
7.447032528,5.278020259,273,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,126,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,53,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,751,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,55-64,,Female
14.89962104,4.505584481,1685,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,48,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.250366935,0.250415597,2529,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,46,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,20,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.258384938,0.258435145,2453,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.991926753,1.991493209,346,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.705745684,0.511378647,2301,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,75+,,Female
0.723545656,0.524231854,2245,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,52,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,75+,,Female
27.03836405,9.906339064,391,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,15,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,28,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16-24,,Male
30.09761181,11.03561963,343,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16-24,,Male
27.38267967,9.619892512,744,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16-24,,Male
56.5142255,55.82285256,90,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16-24,,Male
8.488636188,1.780708047,5881,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,16+,,Male
18.46871395,6.232941298,727,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,16+,,Male
9.879281788,9.848391034,111,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,16+,,Male
3.014346499,3.015896741,211,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,16+,,Male
2.770472834,0.781546904,4425,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,16+,,Male
26.8656714,9.851669272,407,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,16+,,Male
12.1689401,2.022253377,10198,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,16+,,Male
27.90399579,22.85141657,336,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,16+,,Male
9.286849834,6.831059994,163,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,57,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,25-34,,Male
50.23575704,49.20962517,20,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,25-34,,Male
12.23964351,12.30181652,39,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,47,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.795404,4.470199099,2045,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,53,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,25-34,,Male
6.364949887,5.100722782,212,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,35-44,,Male
10.48283857,8.388685385,141,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,32,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,27,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.59072293,3.999113556,2409,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,35-44,,Male
24.88601769,24.83046916,59,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,35-44,,Male
25.52258046,12.51869098,315,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,45-54,,Male
42.47910097,21.01709278,204,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,30,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,51,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,24,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,45-54,,Male
10.64380929,3.33966673,2539,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.61221753,11.64160547,76,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,45-54,,Male
4.822325798,2.398196221,837,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,55-64,,Male
15.26171301,8.128104296,261,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,21,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,57,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,55-64,,Male
0.657620858,0.658312954,496,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,55-64,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.350891661,3.397877294,1826,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,53,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.539089073,1.412513194,2158,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,38,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.637184705,1.443656833,2111,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.988403392,2.983798121,541,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Acquaintance violence,,65-74,,Male
1.249727739,0.928395764,1805,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Acquaintance violence,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Acquaintance violence,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Acquaintance violence,,75+,,Male
1.260515723,0.936407612,1791,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,94,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Acquaintance violence,,75+,,Male
17.85979338,6.061368646,831,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Common assault with injury,,16-24,,All adults
82.43383471,80.59227356,35,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Common assault with injury,,16-24,,All adults
42.80941953,28.57178692,124,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Common assault with injury,,16-24,,All adults
11.53101661,11.64791319,46,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Common assault with injury,,16-24,,All adults
13.41825555,5.895821863,626,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Common assault with injury,,16-24,,All adults
12.7641005,3.890942678,1575,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Common assault with injury,,16-24,,All adults
42.47758225,30.14562103,178,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.791779938,0.993545749,14222,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Common assault with injury,,16+,,All adults
17.98389166,5.58646569,1577,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Common assault with injury,,16+,,All adults
8.704336485,3.868465025,1530,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Common assault with injury,,16+,,All adults
3.480445969,2.477954525,430,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Common assault with injury,,16+,,All adults
0.647021494,0.246995088,9914,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Common assault with injury,,16+,,All adults
11.95582514,5.253000022,771,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Common assault with injury,,16+,,All adults
6.426227122,0.856672433,20450,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Common assault with injury,,16+,,All adults
25.15473854,12.76488936,696,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Common assault with injury,,16+,,All adults
12.20339129,6.300673044,839,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Common assault with injury,,25-34,,All adults
28.84961055,24.73030369,145,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Incidence rate,,Common assault with injury,,25-34,,All adults
11.75366312,8.404453964,518,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.318180877,6.334027849,82,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Incidence rate,,Common assault with injury,,25-34,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,92,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Incidence rate,,Common assault with injury,,25-34,,All adults
5.710263972,1.467241748,4314,Quarter,2017 Q1,K04000001,,,Employed,,Incidence rate,,Common assault with injury,,25-34,,All adults
24.69772469,16.2476981,149,Quarter,2017 Q1,K04000001,,,Unemployed,,Incidence rate,,Common assault with injury,,25-34,,All adults
8.910705984,3.992725207,804,Quarter,2017 Q1,K04000001,,,Economically inactive,,Incidence rate,,Common assault with injury,,35-44,,All adults
