V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Ethnic group_codelist,Ethnic group,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0,0,63,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,10,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.367989921,0.665471181,5374,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,83,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,42,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.947883154,0.498638743,4106,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16-24,,Female
22.23467389,22.02225175,51,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,42,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,18,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16-24,,Female
17.63535716,5.879011076,1144,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16-24,,Female
2.874800243,1.52982752,984,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16+,,Female
5.311775138,3.691085014,591,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,206,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,171,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16+,,Female
9.480638419,1.401355371,17013,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16+,,Female
1.687350565,1.689900328,288,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,121,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,45,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,25-34,,Female
11.92282225,3.666326198,2531,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,269,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,35-44,,Female
3.663498555,3.66524531,164,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,44,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,48,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,35-44,,Female
8.244151604,2.268899539,2600,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,35-44,,Female
17.71376509,10.7355708,139,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,45-54,,Female
4.230931399,4.234484339,135,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,34,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,27,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.22123625,4.821601155,2925,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,102,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,64,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,55-64,,Female
10.13853495,2.906514446,2743,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,49,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,40,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,13,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.481523231,0.3409283,2775,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,33,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,75+,,Female
0.711973898,0.515889314,2295,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,100,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,42,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,35,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,25,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16-24,,Male
36.30403402,9.525413887,1022,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16-24,,Male
3.701763234,1.976046659,972,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,16+,,Male
0,0,435,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,16+,,Male
7.878154388,5.726975372,164,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,16+,,Male
10.32388365,7.789924329,178,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,16+,,Male
12.59343699,1.796612779,14660,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,16+,,Male
0,0,210,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,64,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.06356704,11.116634,46,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,31,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.59146971,4.97561966,1908,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,25-34,,Male
7.082438446,5.008873252,294,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,98,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,35-44,,Male
26.06962247,26.19165573,35,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,35-44,,Male
32.87932716,32.28102802,40,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.67829146,4.470687229,2209,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.63962903,10.01604989,156,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,99,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,21,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,45-54,,Male
20.20084531,20.16239158,35,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,45-54,,Male
12.36467656,3.52706689,2620,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,95,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,83,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,18,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,29,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.467474878,2.786302049,2491,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,67,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,23,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,14,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.411418797,1.336368997,2599,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,50,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,26,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Acquaintance violence,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Acquaintance violence,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Acquaintance violence,,75+,,Male
1.266242479,0.94158209,1811,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Acquaintance violence,,75+,,Male
10.28162047,8.99012516,204,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16-24,,All adults
9.466624801,9.443058456,93,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16-24,,All adults
0,0,77,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16-24,,All adults
9.415204732,9.470998929,43,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16-24,,All adults
18.33127289,4.413969426,2166,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.315635123,1.960502936,1956,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16+,,All adults
4.070508039,2.262508827,1026,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16+,,All adults
5.458192882,3.335334033,370,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16+,,All adults
3.732478876,2.649842564,349,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16+,,All adults
6.557454359,0.772974449,31673,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16+,,All adults
0,0,498,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,25-34,,All adults
2.795845535,2.799637541,185,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,25-34,,All adults
5.83093884,5.838925493,104,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,76,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,25-34,,All adults
8.519515971,1.925353067,4439,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.684705287,4.287562812,563,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.471429058,6.474924854,262,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.289585979,6.310849703,79,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,35-44,,All adults
0,0,88,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.599694721,1.56673404,4809,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,35-44,,All adults
4.414973291,3.257733536,295,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,45-54,,All adults
2.359940661,2.361055683,234,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,45-54,,All adults
21.58473584,21.63360285,55,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,45-54,,All adults
11.93973542,11.92356541,62,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,45-54,,All adults
8.099425667,2.096869586,5545,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,45-54,,All adults
0,0,197,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,147,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,33,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,44,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.249668677,0.960112471,5234,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,116,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,63,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,10,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.290165762,0.471141855,5374,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,83,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,42,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,4106,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,75+,,All adults
2.801136146,2.812082004,104,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16-24,,Female
18.23105192,18.12552721,51,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16-24,,Female
0,0,42,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16-24,,Female
0,0,18,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16-24,,Female
7.114483994,2.684681344,1144,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16-24,,Female
4.00958979,2.106604786,984,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16+,,Female
7.536234178,4.18568223,591,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,206,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,171,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16+,,Female
5.13474615,0.868199361,17013,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,288,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,25-34,,Female
4.896357605,4.90197047,121,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,45,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,25-34,,Female
8.861874492,2.967032161,2531,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,25-34,,Female
9.633153753,7.877562071,269,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,35-44,,Female
10.99049567,10.99573593,164,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,35-44,,Female
0,0,44,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,35-44,,Female
0,0,48,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,35-44,,Female
6.455799739,2.322003701,2600,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,35-44,,Female
9.713353633,7.18832627,139,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,45-54,,Female
4.230931399,4.234484339,135,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,45-54,,Female
0,0,34,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,45-54,,Female
0,0,27,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,45-54,,Female
6.835190118,2.878754975,2925,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,45-54,,Female
0,0,102,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,64,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,55-64,,Female
4.517045066,1.608728045,2743,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,49,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,40,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,13,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,65-74,,Female
0.762906404,0.473804352,2775,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,33,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,2295,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,75+,,Female
17.09150829,16.90064678,100,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16-24,,Male
0,0,42,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16-24,,Male
0,0,35,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16-24,,Male
15.93347062,16.10435577,25,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16-24,,Male
29.11347622,8.164609039,1022,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16-24,,Male
4.59546902,3.218386717,972,Quarter,2017 Q1,K04000001,,,Asian/Asian British,,Incidence rate,,Common assault with injury,,16+,,Male
0,0,435,Quarter,2017 Q1,K04000001,,,Black/African/Caribbean/Black British,,Incidence rate,,Common assault with injury,,16+,,Male
10.65963337,6.511891739,164,Quarter,2017 Q1,K04000001,,,Mixed/multiple ethnic groups,,Incidence rate,,Common assault with injury,,16+,,Male
6.953115364,4.939391854,178,Quarter,2017 Q1,K04000001,,,Other ethnic group,,Incidence rate,,Common assault with injury,,16+,,Male
8.058294133,1.309168362,14660,Quarter,2017 Q1,K04000001,,,White,,Incidence rate,,Common assault with injury,,16+,,Male
