V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Level of physical disorder in immediate area_codelist,Level of physical disorder in immediate area,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
10.770033,1.578036662,15451,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,16+,,Male
14.99766215,15.01847725,158,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.12129408,4.261459908,2085,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,25-34,,Male
39.42686427,34.00018999,174,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,35-44,,Male
9.446902246,3.101448404,2499,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,35-44,,Male
15.11994025,12.78349628,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.81829545,3.298345269,2741,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,45-54,,Male
5.392476029,5.391379819,138,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.904320222,2.647790498,2559,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,55-64,,Male
12.12373789,12.07571858,87,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.994896671,1.268706578,2607,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Acquaintance violence,,75+,,Male
1.225977195,0.910764695,1839,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Acquaintance violence,,75+,,Male
5.68058709,4.114223177,210,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16-24,,All adults
17.45373911,4.042998685,2362,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16-24,,All adults
11.62436905,3.275010969,1842,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16+,,All adults
5.982215098,0.716529982,33325,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16+,,All adults
20.43077475,10.79781265,405,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.099270303,1.46677821,4855,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.338492633,4.708376915,347,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.717593417,1.456484987,5429,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,35-44,,All adults
14.04428187,8.477822408,336,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.506125377,1.933707008,5819,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,45-54,,All adults
13.4366091,8.790293685,254,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.498296406,0.828423777,5361,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,55-64,,All adults
9.426264907,6.699907483,186,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.982357652,0.416763114,5377,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,4122,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,113,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16-24,,Female
7.40760234,2.526841022,1241,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16-24,,Female
13.27049094,5.603828816,969,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16+,,Female
4.596191063,0.773362851,17874,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16+,,Female
36.71105262,20.92993088,247,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,25-34,,Female
4.987451892,1.965325137,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,25-34,,Female
3.67010392,3.671428634,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,35-44,,Female
7.047999888,2.264690696,2930,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,35-44,,Female
8.888411213,8.859172731,163,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,45-54,,Female
6.695728757,2.692644471,3078,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,45-54,,Female
23.31911218,18.31761512,116,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,55-64,,Female
3.391343652,1.355590125,2802,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,65-74,,Female
0.76026608,0.472189544,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,2283,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,75+,,Female
10.50756824,7.634398257,97,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16-24,,Male
27.18704546,7.480746952,1121,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16-24,,Male
10.09166935,3.561575209,873,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,16+,,Male
7.437879596,1.222903082,15451,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,16+,,Male
3.749415538,3.754619313,158,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,25-34,,Male
7.215294172,2.190541857,2085,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,25-34,,Male
10.40114634,8.078341685,174,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,35-44,,Male
4.350575851,1.825215122,2499,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,35-44,,Male
18.47132407,13.71033618,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,45-54,,Male
8.34956858,2.786438575,2741,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,45-54,,Male
5.392476029,5.391379819,138,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,55-64,,Male
1.563803384,0.927400593,2559,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,55-64,,Male
21.79079856,15.41704926,87,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,65-74,,Male
1.21951218,0.699279018,2607,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,65-74,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,1839,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with injury,,75+,,Male
37.57880762,13.9260126,210,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16-24,,All adults
43.53022493,6.897038863,2362,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16-24,,All adults
34.60650155,6.239548821,1842,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16+,,All adults
19.66494246,1.392392014,33325,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16+,,All adults
36.4476838,14.52240708,405,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,25-34,,All adults
23.60785792,3.348692533,4855,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,25-34,,All adults
60.97325877,21.79575473,347,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,35-44,,All adults
17.8607524,2.656892495,5429,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,35-44,,All adults
23.13269646,10.02468047,336,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,45-54,,All adults
26.34984708,3.676424592,5819,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,45-54,,All adults
29.06181687,12.56636472,254,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,55-64,,All adults
11.55323548,2.463184458,5361,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,55-64,,All adults
9.426264907,6.699907483,186,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,65-74,,All adults
6.456934336,1.599159036,5377,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,65-74,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,75+,,All adults
1.611092032,0.597787004,4122,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,75+,,All adults
23.47959555,14.51694077,113,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16-24,,Female
19.2977969,5.431207464,1241,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16-24,,Female
31.12696342,7.641557896,969,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16+,,Female
13.88235878,1.499109725,17874,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16+,,Female
42.27368482,23.20041944,247,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,25-34,,Female
18.27033626,3.883525257,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,25-34,,Female
49.26777913,18.04304328,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,35-44,,Female
15.66740256,3.214199714,2930,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,35-44,,Female
17.28393634,11.76225635,163,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,45-54,,Female
21.88704448,5.045297019,3078,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,45-54,,Female
51.51559421,24.38251503,116,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,55-64,,Female
10.61732383,2.850756868,2802,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,65-74,,Female
4.559872671,1.725920949,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,65-74,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,75+,,Female
1.00012822,0.590818791,2283,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,75+,,Female
49.5593705,22.51446519,97,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16-24,,Male
67.00807029,12.50007719,1121,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16-24,,Male
37.84629022,9.755907197,873,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,16+,,Male
25.73807073,2.357937152,15451,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,16+,,Male
30.47815328,17.18255228,158,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,25-34,,Male
28.96556877,5.498995195,2085,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,25-34,,Male
70.74589561,36.97708119,174,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,35-44,,Male
20.11446044,4.195815231,2499,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,35-44,,Male
28.154682,15.52825808,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,45-54,,Male
30.9946351,5.469475884,2741,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,45-54,,Male
10.78495206,10.78275964,138,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,55-64,,Male
12.53258222,4.070172816,2559,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,55-64,,Male
21.79079856,15.41704926,87,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,65-74,,Male
8.482660756,2.735977824,2607,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,65-74,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault,,75+,,Male
2.409372681,1.141431804,1839,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault,,75+,,Male
31.89822053,13.32969047,210,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16-24,,All adults
26.07648582,5.35569594,2362,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16-24,,All adults
22.9821325,5.103633701,1842,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16+,,All adults
13.68272736,1.156067999,33325,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16+,,All adults
16.01690905,7.19864227,405,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,25-34,,All adults
17.50858761,2.924857045,4855,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,25-34,,All adults
53.63476614,21.16661675,347,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,35-44,,All adults
12.14315898,2.22878982,5429,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,35-44,,All adults
9.088414589,5.661218561,336,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,45-54,,All adults
18.8437217,3.121969531,5819,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,45-54,,All adults
15.62520777,8.001910837,254,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,55-64,,All adults
9.054939078,2.316403566,5361,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,55-64,,All adults
0,0,186,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,65-74,,All adults
5.474576685,1.511043574,5377,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,65-74,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,75+,,All adults
1.611092032,0.597787004,4122,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,75+,,All adults
23.47959555,14.51694077,113,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16-24,,Female
11.89019456,4.830023973,1241,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16-24,,Female
17.85647248,4.753032546,969,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16+,,Female
9.286167721,1.225548241,17874,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16+,,Female
5.562632196,3.926402861,247,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,25-34,,Female
13.28288437,3.253486617,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,25-34,,Female
45.59767521,17.68314201,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,35-44,,Female
8.61940267,2.285830772,2930,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,35-44,,Female
8.395525123,8.372318006,163,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,45-54,,Female
15.19131572,4.16981981,3078,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,45-54,,Female
28.19648203,16.48210813,116,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,55-64,,Female
7.225980178,2.495613038,2802,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,65-74,,Female
3.799606591,1.660321874,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,65-74,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,75+,,Female
1.00012822,0.590818791,2283,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,75+,,Female
39.05180226,21.27517153,97,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16-24,,Male
39.82102482,9.481990259,1121,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16-24,,Male
27.75462086,8.813220084,873,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,16+,,Male
18.30019114,1.959767543,15451,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,16+,,Male
26.72873774,14.01468574,158,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,25-34,,Male
21.7502746,4.902233791,2085,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,25-34,,Male
60.34474926,35.85965088,174,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,35-44,,Male
15.76388459,3.774014008,2499,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,35-44,,Male
9.683357926,7.66523009,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,45-54,,Male
22.64506652,4.684756644,2741,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,45-54,,Male
5.392476029,5.391379819,138,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,55-64,,Male
10.96877884,3.96474176,2559,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,55-64,,Male
0,0,87,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,65-74,,Male
7.263148576,2.55821827,2607,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,65-74,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Common assault with no injury,,75+,,Male
2.409372681,1.141431804,1839,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Common assault with no injury,,75+,,Male
9.437525449,6.666612002,210,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,16-24,,All adults
10.21153016,3.540894007,2362,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,16-24,,All adults
7.888909845,2.976568465,1842,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,16+,,All adults
5.20143693,0.737282745,33325,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,16+,,All adults
18.72924375,10.71337905,405,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,25-34,,All adults
6.052586453,1.32487147,4855,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,25-34,,All adults
5.781659765,4.436988939,347,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,35-44,,All adults
4.292157812,1.282543472,5429,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,35-44,,All adults
4.106201536,4.101129826,336,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,45-54,,All adults
9.582014153,2.611599147,5819,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,45-54,,All adults
0,0,254,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,55-64,,All adults
1.91528726,0.89212868,5361,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,55-64,,All adults
0,0,186,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,65-74,,All adults
1.833790493,0.857334688,5377,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,65-74,,All adults
0,0,104,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,75+,,All adults
0,0,4122,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,75+,,All adults
10.72082214,10.68797774,113,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,16-24,,Female
14.21643446,6.37038199,1241,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,16-24,,Female
12.95438378,5.658662644,969,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,16+,,Female
7.453848523,1.298851756,17874,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,16+,,Female
37.00816747,21.08009598,247,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,25-34,,Female
9.820369488,2.494099189,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,25-34,,Female
3.674508562,3.679619083,173,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,35-44,,Female
5.687206978,2.081664317,2930,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,35-44,,Female
8.888411213,8.859172731,163,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,45-54,,Female
13.09940687,4.606595373,3078,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,45-54,,Female
0,0,116,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,55-64,,Female
3.505734384,1.728006549,2802,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,65-74,,Female
3.133332539,1.606606335,2770,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,65-74,,Female
0,0,58,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,75+,,Female
0,0,2283,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,75+,,Female
8.347066162,8.340168456,97,Quarter,2017 Q1,K04000001,,,High,,Incidence rate,,Domestic violence,,16-24,,Male
6.331336073,3.229144032,1121,Quarter,2017 Q1,K04000001,,,Low,,Incidence rate,,Domestic violence,,16-24,,Male
