V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Structure of household_codelist,Structure of household,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
13.3183761,6.139722637,853,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16-24,,Female
11.44086787,3.231344846,4111,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16+,,Female
14.03434706,4.927387185,1609,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16+,,Female
7.194037315,1.216431715,13263,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16+,,Female
8.14620164,4.24111494,1173,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,25-34,,Female
16.11371717,6.412870547,637,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,25-34,,Female
9.644564149,4.104418578,1234,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,25-34,,Female
3.279988875,1.661793551,1705,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,35-44,,Female
9.343867539,5.295802323,525,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,35-44,,Female
13.83236466,5.053965064,898,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,35-44,,Female
31.16121499,13.91741764,745,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,283,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,45-54,,Female
9.064253896,3.076106055,2236,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,45-54,,Female
8.907849624,8.886916899,91,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.286959779,2.752296921,2837,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,20,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.467350894,0.330902885,2861,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,10,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,75+,,Female
0.695902475,0.50424928,2344,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,75+,,Female
61.35605148,24.43566281,291,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16-24,,Male
19.22752861,6.46861828,930,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16-24,,Male
15.71839766,3.825358299,3570,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16+,,Male
0,0,172,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16+,,Male
9.958971459,1.623731408,12695,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16+,,Male
6.935438519,4.209416411,734,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,43,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.57060418,5.736676076,1488,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,25-34,,Male
7.562329562,3.74122579,1458,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,62,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,35-44,,Male
17.71461902,7.540260966,1168,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,35-44,,Male
15.91375494,6.816826224,890,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,48,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,45-54,,Male
9.894571552,3.246805343,1994,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,149,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.358138748,2.738328488,2560,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,35,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.291554351,1.300052911,2669,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,13,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,75+,,Male
1.205221354,0.896233303,1886,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,75+,,Male
22.37130244,10.43855815,658,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.505446382,4.508193201,147,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16-24,,All adults
14.57139447,3.44856476,1783,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16-24,,All adults
7.245121073,1.808790819,7681,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16+,,All adults
13.7146511,4.565591927,1781,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16+,,All adults
5.593169982,0.685795362,25958,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16+,,All adults
4.042886486,2.044505196,1907,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,25-34,,All adults
20.88289203,9.860181777,680,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.60773182,2.160810827,2722,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,25-34,,All adults
3.033614613,1.179764472,3163,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,35-44,,All adults
8.5728362,4.72027984,587,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,35-44,,All adults
10.29882559,3.438922256,2066,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,35-44,,All adults
10.54141104,4.801124626,1635,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,45-54,,All adults
13.9566473,10.98390167,331,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,45-54,,All adults
6.277524135,1.656916566,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,45-54,,All adults
0,0,240,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.157158489,0.932580576,5397,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,55,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.253591733,0.457908839,5530,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,23,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,75+,,All adults
3.314005743,3.309958712,367,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16-24,,Female
4.662830223,4.66554581,143,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16-24,,Female
8.42166344,3.156081236,853,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16-24,,Female
5.324569064,1.932809229,4111,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16+,,Female
15.32054813,5.098479761,1609,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16+,,Female
4.178555458,0.776790397,13263,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16+,,Female
3.84584209,3.046553626,1173,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,25-34,,Female
22.68553739,10.70652921,637,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,25-34,,Female
6.668654617,3.432725999,1234,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,25-34,,Female
3.881253097,2.062727482,1705,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,35-44,,Female
9.685485278,5.331350159,525,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,35-44,,Female
12.23040017,5.713119991,898,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,35-44,,Female
13.23998235,8.401395542,745,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,45-54,,Female
16.52487097,13.0031901,283,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,45-54,,Female
3.596329591,1.602796719,2236,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,45-54,,Female
0,0,91,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,55-64,,Female
4.339663533,1.545352193,2837,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,20,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,65-74,,Female
0.740452311,0.459864423,2861,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,10,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,2344,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,75+,,Female
44.21801908,22.0180177,291,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16-24,,Male
19.76976247,5.784616162,930,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16-24,,Male
9.244442439,3.128903637,3570,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,16+,,Male
0,0,172,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,16+,,Male
6.985022399,1.12281256,12695,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,16+,,Male
4.307144798,2.488854834,734,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,25-34,,Male
0,0,43,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,25-34,,Male
8.245442388,2.789631201,1488,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,25-34,,Male
2.136537701,1.070851943,1458,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,35-44,,Male
0,0,62,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,35-44,,Male
8.866228246,4.242479562,1168,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,35-44,,Male
8.421340769,5.461113827,890,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,45-54,,Male
0,0,48,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,45-54,,Male
9.249882671,3.014071209,1994,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,45-54,,Male
0,0,149,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,55-64,,Male
1.891427716,0.994838389,2560,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,55-64,,Male
0,0,35,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with injury,,65-74,,Male
1.810721368,0.814263959,2669,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,65-74,,Male
0,0,13,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,1886,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with injury,,75+,,Male
36.39008902,12.8946844,658,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16-24,,All adults
76.43128018,38.10082984,147,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16-24,,All adults
44.12098048,7.476769041,1783,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16-24,,All adults
25.76631247,3.237202611,7681,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16+,,All adults
40.31710394,7.54695544,1781,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16+,,All adults
17.59084964,1.443452009,25958,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16+,,All adults
22.80375315,6.010336893,1907,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,25-34,,All adults
52.87540556,13.93534973,680,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,25-34,,All adults
22.30932863,3.791975373,2722,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,25-34,,All adults
16.14884222,3.233639908,3163,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,35-44,,All adults
19.5766058,6.951828841,587,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,35-44,,All adults
28.23330296,5.883039086,2066,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,35-44,,All adults
39.75508651,8.365061034,1635,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,45-54,,All adults
31.34666522,14.34679219,331,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,45-54,,All adults
19.37709044,3.555650292,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,45-54,,All adults
34.02528993,20.66381201,240,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,55-64,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,55-64,,All adults
10.74271677,2.180319024,5397,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,55-64,,All adults
0,0,55,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,65-74,,All adults
6.628355349,1.58339078,5530,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,65-74,,All adults
0,0,23,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,75+,,All adults
1.578657562,0.586071654,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,75+,,All adults
10.23394578,6.168545106,367,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16-24,,Female
65.52119576,37.41792687,143,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16-24,,Female
20.51806927,6.730330051,853,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16-24,,Female
17.22141111,3.520243756,4111,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16+,,Female
42.34742907,8.255209522,1609,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16+,,Female
11.83406802,1.487868804,13263,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16+,,Female
15.82304645,6.249105961,1173,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,25-34,,Female
54.64342367,14.89011413,637,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,25-34,,Female
15.32164116,5.087176984,1234,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,25-34,,Female
11.25727113,3.224091382,1705,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,35-44,,Female
22.11740932,7.849399905,525,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,35-44,,Female
29.31291555,8.262795929,898,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,35-44,,Female
39.3921093,14.43376866,745,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,45-54,,Female
37.1149021,16.96303749,283,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,45-54,,Female
13.5366675,3.942650708,2236,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,45-54,,Female
8.907849624,8.886916899,91,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,55-64,,Female
0,0,16,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,55-64,,Female
12.27770739,2.990732484,2837,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,55-64,,Female
0,0,20,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,65-74,,Female
4.441034987,1.680799298,2861,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,65-74,,Female
0,0,10,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,75+,,Female
0.977556801,0.57748184,2344,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,75+,,Female
66.37471164,26.66489821,291,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16-24,,Male
64.07252274,12.66527529,930,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16-24,,Male
34.66167369,5.325025047,3570,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,16+,,Male
22.97776011,16.21250166,172,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,16+,,Male
23.25500074,2.429062095,12695,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,16+,,Male
32.16565233,11.30837316,734,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,25-34,,Male
32.39365554,31.83393481,43,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,25-34,,Male
27.05454247,5.37943404,1488,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,25-34,,Male
21.32571369,5.580425122,1458,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,35-44,,Male
0,0,62,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,35-44,,Male
27.4325831,8.238138294,1168,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,35-44,,Male
40.04025118,9.746275315,890,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,45-54,,Male
0,0,48,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,45-54,,Male
25.8517534,6.092147526,1994,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,45-54,,Male
49.58329666,32.90528028,149,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,55-64,,Male
9.099692192,3.138014345,2560,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,55-64,,Male
0,0,35,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault,,65-74,,Male
9.003189445,2.742587071,2669,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,65-74,,Male
0,0,13,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault,,75+,,Male
2.368581909,1.123422937,1886,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault,,75+,,Male
14.01878657,5.311483985,658,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with no injury,,16-24,,All adults
71.9258338,37.87016465,147,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with no injury,,16-24,,All adults
29.54958602,6.591173189,1783,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with no injury,,16-24,,All adults
18.5211914,2.57805483,7681,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with no injury,,16+,,All adults
26.60245285,6.05200257,1781,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with no injury,,16+,,All adults
11.99767966,1.24177183,25958,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with no injury,,16+,,All adults
18.76086666,5.662552814,1907,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with no injury,,25-34,,All adults
31.99251352,9.968568215,680,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with no injury,,25-34,,All adults
14.70159681,2.841797904,2722,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with no injury,,25-34,,All adults
13.11522761,3.007899072,3163,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with no injury,,35-44,,All adults
11.0037696,5.117683255,587,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Common assault with no injury,,35-44,,All adults
17.93447737,4.781307743,2066,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Common assault with no injury,,35-44,,All adults
29.21367547,6.866070589,1635,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Common assault with no injury,,45-54,,All adults
