V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Occupation_codelist,Occupation,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
3.255382055,1.624179082,1417,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.214379225,1.095723172,1782,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,163,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,53,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.882549449,0.865558601,2175,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.345356737,1.345799428,1078,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,1231,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,196,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,44,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.422967634,0.838839669,1705,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,75+,,All adults
17.52404871,10.16362203,444,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16-24,,Female
7.664256428,7.635812667,202,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16-24,,Female
0.966863754,0.969094003,206,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,116,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16-24,,Female
29.18877631,10.55648883,386,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16-24,,Female
20.75603828,10.12480872,578,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16+,,Female
4.397175925,1.444870014,4848,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16+,,Female
7.633074986,2.111985864,6210,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16+,,Female
2.574951619,1.287204755,945,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,157,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16+,,Female
12.12607796,2.284204503,6245,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16+,,Female
76.20642498,67.708966,75,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,25-34,,Female
9.925538332,4.257107635,656,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,25-34,,Female
2.490694338,1.442881166,1131,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,25-34,,Female
3.563769729,3.563880814,201,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,25-34,,Female
15.63873843,6.427959024,956,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,39,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,35-44,,Female
1.775932438,1.7742696,762,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,35-44,,Female
5.292255474,2.342316958,1364,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,35-44,,Female
7.968958237,5.640319501,138,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,34,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,35-44,,Female
15.03400231,5.841046186,791,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,45-54,,Female
8.363111576,5.483265916,926,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,45-54,,Female
19.74770435,8.672771238,1217,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,45-54,,Female
5.399150093,5.402992829,113,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,24,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.8922607,8.098232288,969,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,55-64,,Female
2.80357438,2.196281282,821,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,55-64,,Female
13.09780674,5.61963054,950,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,99,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,55-64,,Female
12.15458929,5.250814179,1048,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,786,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.806200958,0.80625309,807,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,113,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,24,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.599285644,0.599262693,1153,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,695,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,535,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,165,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,19,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,75+,,Female
1.739190308,1.262183076,942,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,75+,,Female
39.29568456,13.64649692,469,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16-24,,Male
0,0,109,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16-24,,Male
2.529542458,2.531341427,191,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16-24,,Male
66.05618299,65.16110304,74,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16-24,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16-24,,Male
29.3508689,11.3907653,377,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16-24,,Male
34.86464046,12.11608711,562,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,16+,,Male
10.07340768,2.584324529,3445,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,16+,,Male
6.98039122,2.181677786,6230,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,16+,,Male
22.59296204,20.72446192,395,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,16+,,Male
0,0,167,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,16+,,Male
12.02107962,2.361632698,5638,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,16+,,Male
0,0,64,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,25-34,,Male
10.13769545,4.982067949,450,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.40699472,8.975347793,919,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,58,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,25-34,,Male
14.10302228,5.599927816,757,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,12,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,35-44,,Male
21.89088664,10.90861517,555,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,35-44,,Male
7.247282243,3.489544086,1243,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,62,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.160249,8.23311956,779,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,45-54,,Male
10.7407059,6.768187249,690,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,45-54,,Male
6.812062438,4.540448706,1171,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,45-54,,Male
15.49412698,15.56791328,59,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,26,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,45-54,,Male
19.37083339,6.165860742,975,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.993636519,2.893308111,627,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,55-64,,Male
10.11101744,6.080328309,1035,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,61,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,28,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,55-64,,Male
1.327541641,0.944239365,965,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,55-64,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,65-74,,Male
7.368065274,3.686240335,631,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.308973153,1.84310194,975,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,50,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,29,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.428394835,1.76682634,1022,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Acquaintance violence,,75+,,Male
4.058855473,4.052761231,383,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,696,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,31,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,25,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Acquaintance violence,,75+,,Male
1.009583939,1.009912975,763,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Acquaintance violence,,75+,,Male
14.8662767,5.826262371,913,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,16-24,,All adults
3.430676438,3.428694987,311,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,16-24,,All adults
12.60480345,7.094781921,397,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,16-24,,All adults
51.32138527,33.12996261,190,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,16-24,,All adults
0,0,14,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,16-24,,All adults
18.01781889,5.505703468,763,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,16-24,,All adults
13.11014616,5.136705615,1140,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,16+,,All adults
4.181095325,1.040696398,8293,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,16+,,All adults
5.530907244,1.084943525,12440,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,16+,,All adults
14.7014663,7.421269623,1340,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,16+,,All adults
0,0,324,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,16+,,All adults
6.295792314,1.026849798,11883,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,16+,,All adults
0,0,139,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,25-34,,All adults
5.100222512,3.062840716,1106,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,25-34,,All adults
4.09845088,2.213519158,2050,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.952550608,7.911672057,259,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,42,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,25-34,,All adults
12.80711444,3.412788824,1713,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,25-34,,All adults
0,0,51,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.454532183,3.484789062,1317,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.444429012,2.089669218,2607,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,35-44,,All adults
2.870107242,2.867774074,200,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,35-44,,All adults
0,0,71,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,35-44,,All adults
4.941579782,2.406494005,1570,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,35-44,,All adults
0,0,26,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,45-54,,All adults
5.999889247,2.999334832,1616,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,45-54,,All adults
9.034420064,3.853641108,2388,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,45-54,,All adults
10.96796766,8.135945128,172,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,45-54,,All adults
0,0,50,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.785348827,2.546815395,1944,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.609891149,2.039297325,1448,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.650290052,1.929906705,1985,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,50,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.301747095,0.30186597,2013,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,55-64,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.978956688,0.781187939,1417,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.79324182,1.020799521,1782,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,65-74,,All adults
4.053487056,4.063679231,163,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,53,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.740558804,0.526961978,2175,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,1078,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,1231,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,196,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,44,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,1705,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,75+,,All adults
3.156696311,2.545952927,444,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,16-24,,Female
0,0,202,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,16-24,,Female
9.562797255,8.554713286,206,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,16-24,,Female
4.713077471,4.720152887,116,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,16-24,,Female
15.57153848,6.72097912,386,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,16-24,,Female
2.765067476,2.226507709,578,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,16+,,Female
2.190171898,0.736553523,4848,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,16+,,Female
7.144668427,1.878473406,6210,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,16+,,Female
2.562727118,1.279574546,945,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,157,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,16+,,Female
6.042519851,1.395917224,6245,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,75,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,25-34,,Female
1.164716321,1.164581659,656,Quarter,2017 Q1,K04000001,,,Intermediate occs,,Incidence rate,,Common assault with injury,,25-34,,Female
6.874967511,4.286375096,1131,Quarter,2017 Q1,K04000001,,,Managerial and professional occs,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,201,Quarter,2017 Q1,K04000001,,,Never worked and long term unemployed,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,Not classified,,Incidence rate,,Common assault with injury,,25-34,,Female
15.11143427,5.835783053,956,Quarter,2017 Q1,K04000001,,,Routine and manual occs,,Incidence rate,,Common assault with injury,,25-34,,Female
0,0,39,Quarter,2017 Q1,K04000001,,,Full-time students,,Incidence rate,,Common assault with injury,,35-44,,Female
