V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of visits to a nightclub last month_codelist,Number of visits to a nightclub last month,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.244135674,0.454479425,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,All adults
6.809598358,4.889342081,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16-24,,Female
17.75055886,17.60799102,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16-24,,Female
5.682592165,2.296210014,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,Female
5.475487125,3.067851076,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16+,,Female
18.77085965,15.22837491,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16+,,Female
4.824580274,0.802459606,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,Female
0.804106644,0.805095217,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,25-34,,Female
41.59916713,41.02752645,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,25-34,,Female
7.943792276,2.706618122,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,Female
16.96219737,16.88721874,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,35-44,,Female
6.320275967,2.080514472,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,Female
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,45-54,,Female
6.91929924,2.643573884,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,55-64,,Female
4.157572627,1.480788694,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,65-74,,Female
0.737234926,0.457867893,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,Female
22.13186928,10.33891641,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16-24,,Male
19.22613504,18.99406667,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16-24,,Male
27.63286353,9.114009808,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,Male
10.82872671,4.562613781,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,16+,,Male
18.78043108,14.35012021,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,16+,,Male
7.050291633,1.189782063,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,Male
3.622727119,2.574378112,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,25-34,,Male
27.20525412,27.2296238,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,25-34,,Male
7.004918091,2.31386454,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,Male
0,0,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,35-44,,Male
5.042740465,1.887687565,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,Male
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,45-54,,Male
9.133357248,2.800040698,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,55-64,,Male
1.764528211,0.928218212,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,65-74,,Male
1.790817629,0.805601096,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with injury,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,Male
46.02839461,15.55247576,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16-24,,All adults
79.33814297,35.13691703,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16-24,,All adults
37.34360126,6.554558233,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16-24,,All adults
28.89931133,7.360303196,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16+,,All adults
74.41186293,27.70547352,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16+,,All adults
18.89049381,1.293452179,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16+,,All adults
14.94769597,4.702019677,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,25-34,,All adults
82.28656623,52.85740826,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,25-34,,All adults
25.06399485,3.66753867,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,25-34,,All adults
19.66994983,10.13150308,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,35-44,,All adults
36.10388812,37.0866449,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,35-44,,All adults
20.42492172,2.923699755,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,35-44,,All adults
11.69321435,8.736855241,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,45-54,,All adults
26.41557142,3.588388204,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,55-64,,All adults
12.37379876,2.437600517,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,65-74,,All adults
6.578356522,1.571625326,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,75+,,All adults
1.407860449,0.559184814,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,75+,,All adults
23.26914048,15.93889893,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16-24,,Female
26.36854773,19.55742806,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16-24,,Female
17.5653926,4.598617413,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16-24,,Female
17.05265952,8.06969477,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16+,,Female
38.44542367,20.971312,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16+,,Female
14.28436347,1.427811822,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16+,,Female
7.04459826,4.480150338,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,25-34,,Female
173.1658156,136.4438398,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,25-34,,Female
20.79617403,4.385365983,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,25-34,,Female
19.31087765,17.04654702,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,35-44,,Female
17.3597139,3.228591186,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,35-44,,Female
24.61616402,18.38227464,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,45-54,,Female
21.48843255,4.900229875,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,55-64,,Female
12.19695368,2.900110172,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,65-74,,Female
4.421737968,1.673618531,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,75+,,Female
0.969256549,0.572588698,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,75+,,Female
68.0216761,26.50911562,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16-24,,Male
118.1831549,58.72119928,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16-24,,Male
56.81832607,12.08381348,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16-24,,Male
39.29522386,11.88974773,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,16+,,Male
96.69837639,42.69193504,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,16+,,Male
23.79908793,2.161502255,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,16+,,Male
21.2527991,7.657588784,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,25-34,,Male
54.41050823,54.45924759,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,25-34,,Male
29.58760059,5.972695866,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,25-34,,Male
19.96300169,12.13765268,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,35-44,,Male
23.58184055,4.864522181,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,35-44,,Male
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,45-54,,Male
31.51621493,5.345207153,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,45-54,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,55-64,,Male
12.55812468,3.943997148,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,65-74,,Male
8.904224947,2.713244785,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault,,75+,,Male
1.983592202,1.050960565,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault,,75+,,Male
31.42653481,14.07640268,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with no injury,,16-24,,All adults
60.73629611,32.77656586,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with no injury,,16-24,,All adults
20.60101921,3.946629459,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with no injury,,16-24,,All adults
20.57262573,6.616103455,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with no injury,,16+,,All adults
55.63509371,25.40977362,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with no injury,,16+,,All adults
12.98843445,1.043425044,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with no injury,,16+,,All adults
12.57577414,4.272370259,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with no injury,,25-34,,All adults
51.70255319,37.33798337,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with no injury,,25-34,,All adults
17.57598148,3.092734471,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with no injury,,25-34,,All adults
12.04746825,6.738849495,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Common assault with no injury,,35-44,,All adults
36.10388812,37.0866449,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Common assault with no injury,,35-44,,All adults
14.73399839,2.566565715,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with no injury,,35-44,,All adults
