V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total_codelist,Total,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
1.232577713,0.450187631,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.0,0.0,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,75+,,All adults
6.799756938,2.3215822630000003,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16-24,,Female
5.013300025,0.783555075,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16+,,Female
7.299740154,2.3839819330000003,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,25-34,,Female
6.803425457,2.129983289,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,35-44,,Female
6.757807756,2.581922318,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,45-54,,Female
4.116662293,1.466236076,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,55-64,,Female
0.731286184,0.454175736,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,65-74,,Female
0.0,0.0,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,75+,,Female
25.57405366,6.8231727860000015,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16-24,,Male
7.539705497000001,1.160802703,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,16+,,Male
6.886129993,2.027738193,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,25-34,,Male
4.7381697560000005,1.773599495,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,35-44,,Male
8.880528089,2.722784093,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,45-54,,Male
1.734629018,0.912550947,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,55-64,,Male
1.771828928,0.7968060140000001,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,65-74,,Male
0.0,0.0,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with injury,,75+,,Male
42.80636266,6.394697524,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16-24,,All adults
20.36383395,1.343347874,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16+,,All adults
24.42191403,3.2512086210000004,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,25-34,,All adults
20.40710255,2.8153978360000003,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,35-44,,All adults
26.01645238,3.501192494,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,45-54,,All adults
12.20883775,2.404838638,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,55-64,,All adults
6.517243903,1.556927688,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,65-74,,All adults
1.559444957,0.578677012,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,75+,,All adults
19.52803045,5.114565164,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16-24,,Female
14.71162759,1.46012739,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16+,,Female
20.09199337,3.96190011,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,25-34,,Female
17.41806115,3.1726868410000004,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,35-44,,Female
21.52656052,4.80354563,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,45-54,,Female
12.07693618,2.871404989,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,55-64,,Female
4.386059005,1.660125349,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,65-74,,Female
0.967175535,0.571359823,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,75+,,Female
65.09178729,11.51168927,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16-24,,Male
26.25986014,2.273824237,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,16+,,Male
28.76490034,5.192225817,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,25-34,,Male
23.44668378,4.626932817,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,35-44,,Male
30.64378457,5.199413111,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,45-54,,Male
12.3453325,3.876212313,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,55-64,,Male
8.809810158,2.683885481,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,65-74,,Male
2.334946745,1.106358797,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault,,75+,,Male
26.41489629,5.001187676,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16-24,,All adults
14.11400141,1.119078706,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16+,,All adults
17.3286674,2.7321768580000003,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,25-34,,All adults
14.6276481,2.453972992,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,35-44,,All adults
18.21328425,2.9540429930000003,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,45-54,,All adults
9.262809677,2.233720192,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,55-64,,All adults
5.284666189,1.458858486,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,65-74,,All adults
1.559444957,0.578677012,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,75+,,All adults
12.72827352,4.575538075,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16-24,,Female
9.698327568,1.176126605,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16+,,Female
12.79225322,3.0051432780000003,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,25-34,,Female
10.61463569,2.35583849,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,35-44,,Female
14.76875276,3.962703403,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,45-54,,Female
7.96027389,2.458947643,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,55-64,,Female
3.654772821,1.597048786,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,65-74,,Female
0.967175535,0.571359823,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,75+,,Female
39.51773364,8.798752179,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16-24,,Male
18.72015465,1.902935916,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,16+,,Male
21.87877035,4.605321307,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,25-34,,Male
18.70851402,4.26499931,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,35-44,,Male
21.76325648,4.411493934,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,45-54,,Male
10.61070348,3.751250971,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,55-64,,Male
7.03798123,2.479169062,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,65-74,,Male
2.334946745,1.106358797,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Common assault with no injury,,75+,,Male
10.09288897,3.27797547,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16-24,,All adults
5.312679288,0.7075098120000001,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16+,,All adults
6.9254844360000005,1.448303067,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,25-34,,All adults
4.355461563,1.225619901,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,35-44,,All adults
9.234341988999999,2.468369527,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,45-54,,All adults
1.81787117,0.8467650879999999,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,55-64,,All adults
1.770177161,0.827601357,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,65-74,,All adults
0.0,0.0,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,75+,,All adults
13.87803922,5.907670574,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16-24,,Female
7.687356082999999,1.252658988,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16+,,Female
11.7551483,2.775131012,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,25-34,,Female
5.529647336,1.960170348,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,35-44,,Female
12.81396276,4.377658342,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,45-54,,Female
3.345629869,1.649091211,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,55-64,,Female
3.013895868,1.545345611,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,65-74,,Female
0.0,0.0,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,75+,,Female
6.46918948,3.0177701160000003,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16-24,,Male
2.835565802,0.630956666,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,16+,,Male
2.081246918,0.834503057,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,25-34,,Male
3.16142222,1.466402433,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,35-44,,Male
5.545145259,2.131739002,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,45-54,,Male
0.23691154600000006,0.23684955,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,55-64,,Male
0.432279384,0.432519277,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,65-74,,Male
0.0,0.0,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Domestic violence,,75+,,Male
7.356530237999999,1.633459179,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16-24,,All adults
3.64825253,0.502055142,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16+,,All adults
3.333883558,0.819426385,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,25-34,,All adults
4.282288322,1.304508666,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,35-44,,All adults
5.522437127000001,1.927363165,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,45-54,,All adults
1.812479511,0.7263906609999999,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,55-64,,All adults
0.967923162,0.4767512270000001,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,65-74,,All adults
0.752317892,0.34920263700000004,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,75+,,All adults
5.77859508,2.044510989,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16-24,,Female
2.873409277,0.526206328,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16+,,Female
3.054053033,1.025967628,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,25-34,,Female
5.4840028720000005,2.311460184,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,35-44,,Female
2.275334345,1.01862256,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,45-54,,Female
1.36947785,0.62610975,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,55-64,,Female
0.617713315,0.3653248770000001,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,65-74,,Female
0.8824404929999999,0.517428075,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,75+,,Female
8.867160585,2.522045914,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16-24,,Male
4.45652028,0.849456827,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,16+,,Male
3.61455848,1.283423243,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,25-34,,Male
3.060254735,1.179206015,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,35-44,,Male
8.868937146,3.765887465,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,45-54,,Male
2.2709077580000003,1.328465835,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,55-64,,Male
1.344652219,0.907266485,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,65-74,,Male
0.581938828,0.436011352,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Mugging,,75+,,Male
27.01516311,3.928911396,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16-24,,All adults
13.8596618,0.846567228,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16+,,All adults
17.18572224,2.076463555,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,25-34,,All adults
14.16302743,1.762585483,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,35-44,,All adults
12.01291623,1.725166896,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,45-54,,All adults
10.56364235,1.749739169,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,55-64,,All adults
6.979052109,1.3350235259999998,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,65-74,,All adults
6.344373087999999,1.412577273,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,75+,,All adults
26.42576882,5.206511754,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16-24,,Female
12.92685202,1.076237272,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16+,,Female
14.96972612,2.609731182,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,25-34,,Female
17.54453787,2.800348462,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,35-44,,Female
10.6316389,1.993274027,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,45-54,,Female
7.570344868999999,1.80613958,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,55-64,,Female
5.15316607,1.365280245,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,65-74,,Female
6.783140704,1.901885427,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,75+,,Female
27.57941754,6.007954582999999,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16-24,,Male
14.83271029,1.301571843,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,16+,,Male
19.4084052,3.272334722,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,25-34,,Male
10.72434114,2.181667941,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,35-44,,Male
13.43647592,2.918452124,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,45-54,,Male
13.661175,3.046329154,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,55-64,,Male
8.943201125,2.358591836,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,65-74,,Male
5.7698624710000015,2.107649511,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other personal theft,,75+,,Male
6.211278891,1.523435659,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16-24,,All adults
2.7811836860000003,0.453747102,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16+,,All adults
1.892590949,0.605259945,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,25-34,,All adults
2.615510989,0.908683444,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,35-44,,All adults
4.987453282,1.89693792,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,45-54,,All adults
1.172398436,0.5530893570000001,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,55-64,,All adults
0.967923162,0.4767512270000001,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,65-74,,All adults
0.563887082,0.293887577,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,75+,,All adults
4.736511278,1.871553332,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16-24,,Female
1.7496419019999998,0.386466413,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16+,,Female
1.325105458,0.543310151,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,25-34,,Female
2.278701109,1.381846872,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,35-44,,Female
1.834049576,0.968963891,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,45-54,,Female
0.775749825,0.450406001,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,55-64,,Female
0.617713315,0.3653248770000001,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,65-74,,Female
0.550100528,0.396577734,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,75+,,Female
7.623142173,2.375394355,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16-24,,Male
3.8572232,0.8161104809999999,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,16+,,Male
2.461788844,1.084255465,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,25-34,,Male
2.958015775,1.1748970440000002,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,35-44,,Male
8.237385997999999,3.713829846,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,45-54,,Male
1.582859485,1.024438372,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,55-64,,Male
1.344652219,0.907266485,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,65-74,,Male
0.581938828,0.436011352,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Robbery,,75+,,Male
1.145251347,0.602803374,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16-24,,All adults
0.8670688440000001,0.210024468,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16+,,All adults
1.441292609,0.5548479000000001,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,25-34,,All adults
1.666777334,0.936743228,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,35-44,,All adults
0.534983845,0.349879965,6196,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,45-54,,All adults
0.640081076,0.333938255,5664,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,55-64,,All adults
0.0,0.0,5592,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,65-74,,All adults
0.18843081,0.188437525,4255,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,75+,,All adults
1.042083802,0.825440485,1363,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16-24,,Female
1.123767375,0.354882643,18983,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16+,,Female
1.728947574,0.870176073,3044,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,25-34,,Female
3.205301763,1.854457444,3128,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,35-44,,Female
0.441284769,0.316489864,3264,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,45-54,,Female
0.593728024,0.43533942,2944,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,55-64,,Female
0.0,0.0,2884,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,65-74,,Female
0.332339965,0.33234447300000003,2356,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,75+,,Female
1.244018412,0.876498439,1225,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16-24,,Male
0.59929708,0.217046156,16437,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,16+,,Male
1.152769636,0.688023224,2265,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,25-34,,Male
0.102238959,0.102221796,2688,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,35-44,,Male
0.631551149,0.631322849,2932,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,45-54,,Male
0.6880482729999999,0.508640548,2720,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,55-64,,Male
0.0,0.0,2708,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,65-74,,Male
0.0,0.0,1899,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Snatch theft,,75+,,Male
7.363073005,2.04262616,2588,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,All adults
2.920954612,0.404159105,35420,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Attempted snatch and stealth theft,,16+,,All adults
3.150445991,0.8870553809999999,5309,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,All adults
3.2244288610000003,1.167561306,5816,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,All adults
