V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,SIC07_codelist,SIC07,Size Band_codelist,Size Band
68175.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,01-03,"01-03 : Agriculture, forestry & fishing",,Total
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,01-03,"01-03 : Agriculture, forestry & fishing",,Total
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,01-03,"01-03 : Agriculture, forestry & fishing",,Total
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,01-03,"01-03 : Agriculture, forestry & fishing",,Total
205.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
110.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
180.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
85.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
55.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
30.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
15.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
5.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
5.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
5.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
695.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,01-03,"01-03 : Agriculture, forestry & fishing",,Total
54550.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,0-49
29010.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,50-99
34255.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,100-249
16190.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,250-499
8405.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,500-999
3305.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,1000-1999
1470.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,2000-4999
345.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,5000-9999
220.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,10000-49999
45.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,50000+
147795.0,Year,2017,K02000001,,,Enterprise,Total,Total,01-03,"01-03 : Agriculture, forestry & fishing",,Total
14050.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,0-49
23555.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,50-99
27375.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,100-249
15470.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,250-499
13215.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,500-999
10065.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,1000-1999
8720.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,2000-4999
3915.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,5000-9999
4075.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,10000-49999
1360.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,50000+
121800.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),05-39,05-39 : Production,,Total
5820.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,0-49
4850.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,50-99
6265.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,100-249
1405.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,250-499
450.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,500-999
95.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,1000-1999
30.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,2000-4999
5.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,5000-9999
5.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,50000+
18925.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,05-39,05-39 : Production,,Total
1470.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,0-49
1495.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,50-99
2525.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,100-249
1255.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,250-499
560.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,500-999
220.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,1000-1999
95.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,2000-4999
30.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,5000-9999
15.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,10000-49999
5.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,50000+
7670.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,05-39,05-39 : Production,,Total
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,0-49
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,50-99
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,100-249
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,250-499
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,500-999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,5000-9999
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,10000-49999
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,50000+
10.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,05-39,05-39 : Production,,Total
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,0-49
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,50-99
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,100-249
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,250-499
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,500-999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,10000-49999
5.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,50000+
5.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,05-39,05-39 : Production,,Total
10.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,0-49
10.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,50-99
15.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,100-249
5.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,250-499
5.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,500-999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,1000-1999
5.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,50000+
50.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,05-39,05-39 : Production,,Total
85.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,0-49
80.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,50-99
120.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,100-249
55.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,250-499
35.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,500-999
10.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,1000-1999
10.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,2000-4999
5.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,5000-9999
5.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,50000+
405.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,05-39,05-39 : Production,,Total
21435.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,0-49
29990.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,50-99
36300.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,100-249
18190.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,250-499
14265.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,500-999
10390.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,1000-1999
8860.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,2000-4999
3955.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,5000-9999
4105.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,10000-49999
1375.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,50000+
148865.0,Year,2017,K02000001,,,Enterprise,Total,Total,05-39,05-39 : Production,,Total
21210.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,0-49
54220.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,50-99
76190.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,100-249
37930.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,250-499
22810.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,500-999
13765.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,1000-1999
9260.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,2000-4999
3215.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,5000-9999
2160.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,10000-49999
445.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,50000+
241205.0,Year,2017,K02000001,,,Enterprise,1,1 - Company (incl. Building Society),41-43,41-43 : Construction,,Total
15205.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,0-49
17155.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,50-99
21740.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,100-249
6270.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,250-499
1360.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,500-999
370.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,1000-1999
85.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,2000-4999
15.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,50000+
62200.0,Year,2017,K02000001,,,Enterprise,2,2 - Sole Proprietor,41-43,41-43 : Construction,,Total
2545.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,0-49
3435.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,50-99
5635.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,100-249
2485.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,250-499
955.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,500-999
405.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,1000-1999
160.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,2000-4999
50.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,5000-9999
40.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,10000-49999
25.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,50000+
15735.0,Year,2017,K02000001,,,Enterprise,3,3 - Partnership,41-43,41-43 : Construction,,Total
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,0-49
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,50-99
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,100-249
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,250-499
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,500-999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,10000-49999
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,50000+
5.0,Year,2017,K02000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,41-43,41-43 : Construction,,Total
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,0-49
5.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,50-99
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,100-249
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,250-499
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,500-999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,1000-1999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,2000-4999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,5000-9999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,10000-49999
0.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,50000+
5.0,Year,2017,K02000001,,,Enterprise,5,5 - Central Government,41-43,41-43 : Construction,,Total
5.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,41-43,41-43 : Construction,,0-49
0.0,Year,2017,K02000001,,,Enterprise,6,6 - Local Authority,41-43,41-43 : Construction,,50-99
